t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
17.429,0.0013384,0.0040874,6908,0.020931,2.0961,0.013312,0.034077,-0.07625,-0.28,0.067826,0,0,0,99.335,0,0,0,-0.19131,0.0062943,0.013924,0.4572,-0.22829,0.0083638,-0.1627,0.046731,0.0074388,0.44156,-0.20463,-0.019886,0.018882,0.029005,0.0032925,-0.072019,-0.015156,-0.013441,0.15826,0.040701,0.023917,-0.12674,-0.14078,-0.055097,0.20945,2.9853,0.26454,-1.3088,6.7388,1.398,0.069817,-1.3087,1.2997,-1.1925,3.8167,0.93769,0.01497,0.051862,-0.0010848,-0.0075191,0.12187,0.035602,0.04965,0.03494,0.0194,-0.017897,0.04281,-0.0072459
17.449,0.0010836,0.0042192,6917,0.019823,1.9589,0.013354,0.031474,-0.010833,-0.17179,-0.0094625,0,0,0,99.341,0,0,0,-0.19131,0.0074388,0.012016,0.45338,-0.22928,0.0093392,-0.16041,0.046731,0.0078202,0.43584,-0.20805,-0.017895,0.018861,0.039035,-0.1126,-0.25213,-0.080315,0.099456,0.10955,-0.01416,0.023414,-0.31785,-0.17594,0.14658,-1.1869,3.2784,0.21853,-2.0068,6.165,1.7808,-0.20945,-1.9886,1.5527,-2.414,2.8916,0.83703,0.014769,0.046742,0.00067875,-0.0028184,0.11343,0.042382,0.055352,0.029562,0.022242,-0.026654,0.046829,-0.0016
17.471,0.0013401,0.0054383,6926,0.021669,2.0945,0.015534,0.033092,0.099727,0.049197,0.005817,0,0,0,99.339,0,0,0,-0.19131,0.0078202,0.010109,0.44614,-0.23096,0.0098998,-0.16003,0.047112,0.0089647,0.42706,-0.21164,-0.0195,-0.014307,0.048333,-0.11012,-0.41522,-0.087466,-0.006712,0.016627,0.013606,0.057176,-0.51173,-0.24792,-0.22124,-0.62835,4.0842,-0.44857,-3.622,4.3831,1.8072,0.76799,-2.2945,1.8736,-2.763,0.78641,0.72394,0.015872,0.037984,0.0054521,0.0088552,0.11711,0.048416,0.063885,0.022884,0.023187,-0.017791,0.078835,0.005079
17.498,0.0012433,0.01179,6936,0.026618,2.4242,0.017631,0.038464,0.11083,0.19779,-0.0071565,0,0,0,99.333,0,0,0,-0.19093,0.010491,0.0093462,0.43011,-0.23259,0.0095419,-0.16041,0.049401,0.0082017,0.41295,-0.22075,-0.029669,0.032798,0.15738,-0.037849,-0.85307,-0.042361,-0.012763,-0.0029327,0.17457,-0.028061,-0.67661,-0.41433,-0.31286,0.48872,3.2784,-0.74762,-1.7741,4.3597,1.2577,1.4662,-2.619,2.1396,-2.065,0.41168,0.43865,0.015261,0.029963,0.011589,0.010192,0.093987,0.056747,0.06931,0.014239,0.02963,-0.021581,0.098847,0.014338
17.51,0.0011022,0.0042374,6945,0.012295,2.6331,0.01676,0.042793,-0.0019198,0.28192,-0.066233,0,0,0,99.342,0,0,0,-0.18902,0.014687,0.0093462,0.4118,-0.23182,0.0081182,-0.16003,0.052453,0.0078202,0.40341,-0.22147,-0.013401,0.10075,0.20043,0.037785,-0.99695,0.03123,-0.06567,0.020559,0.12716,0.0065344,-0.51566,0.0051193,1.0829,0.62835,2.9853,-0.58659,-0.14542,4.9196,1.5497,1.0473,-2.0905,1.2997,-1.8905,0.078373,0.78621,0.024914,0.033515,0.01539,0.010997,0.11943,0.053469,0.067591,0.020338,0.025501,-0.0072963,0.13323,0.0057585
17.529,0.000912,0.0086361,6956,0.019299,2.9435,0.011747,0.050015,-0.19171,0.30666,0.070786,0,0,0,99.323,0,0,0,-0.18826,0.017739,0.0093462,0.39387,-0.23182,0.0081182,-0.16232,0.057794,0.0078202,0.3954,-0.2159,0.0073339,0.015421,0.10511,0.018094,-0.67507,-0.0081971,0.022829,-0.10061,0.27675,0.021348,-0.35185,0.29398,0.69123,1.0473,2.1585,-0.67861,1.1343,4.6892,1.9604,2.304,-3.2418,0.90864,-0.90161,1.0313,0.20006,0.029204,0.057397,0.011806,0.015035,0.16197,0.043578,0.057228,0.032579,0.023939,-0.013576,0.11113,-0.0039207
17.557,0.0010755,0.015817,6969,0.028022,3.1002,0.005908,0.053785,-0.25288,0.16369,0.21646,0,0,0,99.348,0,0,0,-0.18902,0.018883,0.010491,0.39158,-0.23234,0.0090671,-0.1627,0.060082,0.0062943,0.39082,-0.20736,-0.0084303,-0.025778,0.048104,0.028721,0.098568,-0.043583,0.076453,0.013796,0.065115,-0.095482,-0.15347,0.35777,-0.71997,-0.76799,1.6147,-0.080513,0.90161,4.4995,1.8347,2.7229,-3.8278,2.4297,-0.72711,1.1533,0.95634,0.03061,0.066722,0.0086407,0.023425,0.21596,0.024537,0.043716,0.05829,0.0098536,-0.0085722,0.091197,-0.01763
17.568,0.0045695,0.0070157,6978,0.010839,3.0492,0.0057639,0.052906,-0.076124,-0.013843,0.25779,0,0,0,99.345,0,0,0,-0.18902,0.018883,0.011254,0.39578,-0.23393,0.012839,-0.16117,0.060464,0.0055314,0.3893,-0.19541,-0.013002,0.0021977,-0.0077835,0.062788,0.2285,-0.062151,0.16486,0.077918,0.0071524,-0.01799,-0.052329,0.71174,-0.16213,1.7454,1.6147,0.19553,0.72711,4.8394,2.0051,2.7229,-3.6447,2.3571,0.49443,1.9351,1.1137,0.017398,0.061045,0.013048,0.026876,0.18779,0.037835,0.046919,0.045545,0.018138,-0.033101,0.092261,-0.0052992
17.596,0.00098494,0.0094406,6990,0.028019,2.6612,0.0077264,0.045799,0.069849,-0.24734,0.11299,0,0,0,99.354,0,0,0,-0.18826,0.020409,0.011635,0.40341,-0.22997,0.0089245,-0.16003,0.060082,0.0074388,0.38968,-0.18394,-0.028011,0.025393,0.084511,0.011258,0.27234,0.21856,-0.26915,0.033057,-0.024999,0.098304,-0.0033154,0.30865,-0.79764,1.4662,2.8755,0.011502,0.43626,6.9855,1.9187,1.6058,-2.6923,2.5747,0.20359,1.8464,1.1661,0.0019627,0.048201,0.012508,-0.0010535,0.12841,0.048542,0.053195,0.03399,0.023416,-0.057486,0.077,-0.003497
17.608,0.005123,0.006646,6999,0.011755,2.4783,0.0082861,0.042454,0.050518,-0.28608,0.061537,0,0,0,99.348,0,0,0,-0.1875,0.021172,0.011254,0.40761,-0.22477,-0.00051786,-0.15812,0.060464,0.0070573,0.39044,-0.18362,-0.031485,0.019389,0.051648,-0.050773,0.2353,0.33457,-0.57724,0.11107,0.02821,-0.040994,0.076569,-0.053705,0.021559,2.1643,4.4139,-0.011502,-0.029084,8.0972,1.5404,0.069817,-0.79883,2.0912,-0.20359,1.4355,0.75103,0.0051078,0.048022,0.0074311,-0.0097556,0.12088,0.045545,0.055761,0.0309,0.019994,-0.054955,0.083123,-0.0045795
