pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.3509,5.7107,0.5449,path,1.5661,5.8000,0.0069,0.2272,0.2675,1.2046,0.4723,0.3462
0.4064,2.6529,0.2002,straight,0.0433,5.8000,0.0433,0.4041,0.0426,0.4108,0.1585,0.0000
0.6015,0.6327,0.1330,straight,0.4049,5.8200,0.1501,0.5801,0.1592,0.9001,0.3492,0.0000
0.0552,2.4834,0.0020,stand,0.0000,5.8400,0.0000,nan,nan,0.1904,0.0367,0.0000
0.3553,38.5607,0.4816,path,3.7504,5.8600,0.0161,0.1734,0.3101,1.1605,0.7392,0.8051
0.8886,11.4178,0.0355,stand,0.0000,5.8800,0.0000,nan,nan,1.2726,0.4607,0.0000
0.3966,2.8741,0.3841,path,2.6029,5.8800,0.0044,-0.1093,0.3812,1.0200,0.4477,0.4428
0.4782,23.2952,0.3335,path,3.3029,5.8800,0.0152,-0.4731,0.0697,1.0447,0.5921,0.7552
0.0484,21.7754,0.2114,path,1.8322,5.9000,0.0075,0.0060,0.0480,0.9516,0.3919,0.3758
0.2979,4.2680,0.5517,path,1.8518,5.9000,0.0139,-0.2711,0.1235,1.2876,0.6907,0.6978
0.3775,4.0468,0.6571,path,3.7876,5.9200,0.0151,-0.3462,0.1506,1.3206,0.7015,0.7510
0.4329,7.5918,0.1077,straight,1.2594,5.2600,0.4329,-0.4291,0.0575,0.6849,0.2123,0.0000
0.4166,6.8479,0.0980,combined,1.5659,5.9600,0.4136,-0.4101,0.0733,0.5804,0.2337,0.0000
0.3414,8.6909,0.1526,lateral,0.2053,5.9800,0.1936,0.0025,0.3413,0.3842,0.1346,0.0000
0.2684,4.6470,0.6500,path,2.0471,5.9800,0.0101,0.2549,0.0841,1.1170,0.5540,0.5049
0.4133,0.5635,0.9865,path,0.4405,6.0000,0.0151,-0.2605,0.3208,1.3320,0.6401,0.7568
0.5996,3.3293,0.0863,combined,1.1140,6.0000,0.0526,0.5979,0.0447,1.1502,0.3860,0.0000
0.2491,2.5631,0.0319,turn,0.0000,6.0200,0.0000,nan,nan,0.6655,0.1256,0.0000
0.4161,0.7412,0.1584,turn,0.0000,6.0400,0.0000,nan,nan,0.3469,0.1346,0.0000
0.1237,7.1645,0.5219,path,2.7004,6.0600,0.0120,-0.0923,0.0824,1.0078,0.5640,0.6017
0.6817,8.7658,0.6049,path,2.3762,6.0800,0.0080,0.3038,0.6103,0.9795,0.4754,0.4004
0.5343,5.3425,0.2578,lateral,1.2170,6.0800,0.5343,-0.4411,0.3015,0.4580,0.1482,0.0000
0.3697,6.3187,0.1636,straight,0.2974,6.1000,0.1274,0.3486,0.1232,0.6212,0.2138,0.0000
0.5288,2.4002,0.1289,straight,0.4270,6.1200,0.0141,0.5198,0.0970,1.0367,0.2377,0.0000
0.4752,1.7237,0.1091,straight,1.3435,6.1200,0.2003,0.4543,0.1392,1.6500,0.4155,0.0000
0.1682,7.0620,0.8087,path,2.4229,6.1200,0.0037,-0.0558,0.1586,1.2126,0.7592,0.7981
0.3183,2.5622,0.0326,lateral,0.1494,6.1400,0.1179,-0.0635,0.3119,0.3425,0.1338,0.0000
0.4277,3.5230,0.1568,turn,0.0000,6.1600,0.0000,nan,nan,0.8069,0.1978,0.0000
0.1791,2.3208,0.6266,path,3.7095,6.1800,0.0146,-0.1008,0.1480,0.9162,0.6579,0.7277
0.3132,4.6804,0.8260,path,3.5937,6.2000,0.0117,-0.1009,0.2965,1.2687,0.5810,0.5856
0.3202,7.3008,0.2202,path,2.0749,6.2200,0.0112,0.2943,0.1262,1.4145,0.6958,0.5573
0.0715,9.6585,0.5715,path,2.1261,6.2200,0.0074,0.0539,0.0471,1.1439,0.4086,0.3703
0.3453,2.2745,0.4903,path,2.8722,6.2200,0.0109,-0.3200,0.1298,0.8566,0.4341,0.5425
0.3187,9.5800,0.3933,path,1.1154,6.2400,0.0083,-0.2945,0.1218,0.6969,0.2948,0.4134
0.3790,0.6786,0.0714,lateral,0.7599,6.2600,0.3790,-0.0808,0.3703,0.4173,0.1555,0.0000
0.1304,6.6638,0.2809,path,2.1526,6.2600,0.0161,0.1153,0.0610,1.0277,0.5875,0.8072
0.1612,3.6613,1.2694,path,3.9267,6.2800,0.0039,-0.1334,0.0904,1.5438,0.6708,0.7000
0.4356,13.3077,0.3174,path,1.9666,6.3400,0.0063,-0.0116,0.4355,0.8564,0.3639,0.3146
0.4184,1.3843,0.1081,turn,0.0000,6.3400,0.0000,nan,nan,0.8409,0.2003,0.0000
0.1087,5.4305,0.3215,path,2.3524,6.3400,0.0083,0.0332,0.1035,0.8914,0.4295,0.4128
0.3493,2.1792,0.0582,turn,0.0000,5.5400,0.0000,nan,nan,0.3865,0.1237,0.0000
0.4008,1.7504,0.0316,combined,1.3330,6.3800,0.3996,0.2564,0.3081,1.5536,0.4065,0.0000
0.5535,7.3466,0.0709,lateral,1.4026,6.4000,0.5487,-0.4387,0.3375,0.5474,0.1755,0.0000
0.4918,2.7682,0.0665,straight,1.3013,6.4200,0.1310,0.4878,0.0625,1.4426,0.4204,0.0000
0.5105,2.4873,0.2171,combined,0.6639,5.5600,0.5105,0.2597,0.4396,0.8223,0.2811,0.3435
0.3395,11.9711,0.0739,lateral,1.0420,6.4600,0.3389,-0.2969,0.1646,0.4282,0.1514,0.0000
0.0687,0.9633,0.3774,path,1.8997,6.4600,0.0063,-0.0671,0.0148,1.1475,0.4076,0.3141
0.3107,7.7652,0.0292,combined,0.7900,6.4800,0.2444,0.1237,0.2850,1.2226,0.3111,0.0000
0.2186,3.8490,0.6645,path,3.6123,6.5400,0.0140,-0.0475,0.2134,1.4104,0.6964,0.7015
0.0728,3.4936,0.3620,path,2.2931,6.5600,0.0070,0.0099,0.0722,1.0909,0.4111,0.3509
0.0761,5.9545,0.0281,stand,0.0000,6.6000,0.0000,nan,nan,0.3473,0.0609,0.0000
0.3229,2.8149,0.2287,combined,1.3070,6.6400,0.3229,-0.2075,0.2474,0.7328,0.2095,0.0000
0.1141,9.0962,0.3150,path,1.7407,6.6400,0.0062,-0.0250,0.1113,0.8291,0.2919,0.3119
0.1165,7.5243,0.0113,stand,0.0000,6.6400,0.0000,nan,nan,0.1965,0.0580,0.0000
0.2913,3.7939,0.0552,straight,1.6806,6.6400,0.2913,-0.2823,0.0717,0.5520,0.2414,0.0000
0.0997,5.0428,0.6479,path,2.7367,6.6600,0.0084,-0.0261,0.0962,1.0947,0.4800,0.4104
0.4798,14.9043,0.0335,combined,1.5056,6.6800,0.4790,-0.2935,0.3796,1.1182,0.3537,0.0000
0.3581,8.1642,1.0764,path,3.1395,5.9600,0.0108,0.1155,0.3389,1.3158,0.6093,0.5413
0.3783,6.1382,0.0723,straight,0.1857,5.9200,0.0368,-0.3537,0.1341,0.4617,0.1477,0.0000
0.3461,1.3654,0.0312,straight,0.0704,6.7800,0.0104,0.3447,0.0309,0.4016,0.1366,0.0000
0.2457,1.9142,0.3639,path,3.7255,6.7800,0.0115,-0.2401,0.0519,1.0747,0.5583,0.5754
0.2116,1.5124,0.1950,path,1.5996,6.7800,0.0061,-0.1946,0.0832,0.7164,0.2573,0.3059
0.3855,11.2307,0.2885,path,4.5688,6.7800,0.0149,0.2775,0.2675,1.4639,0.8043,0.7428
0.3966,22.9038,0.1636,path,2.3381,6.8000,0.0078,0.3761,0.1257,1.2784,0.4835,0.3866
0.4765,0.7185,0.0274,lateral,0.8800,6.8000,0.4758,-0.1061,0.4645,0.4103,0.1535,0.0000
0.4808,9.3823,0.7396,path,3.2831,6.8000,0.0075,0.3814,0.2927,1.4430,0.6122,0.5144
0.3948,10.3601,0.0908,combined,1.9861,6.8000,0.3809,0.3837,0.0928,1.5444,0.4557,0.0000
0.3132,13.5079,0.1173,lateral,0.3829,5.5200,0.1834,0.0730,0.3046,0.7725,0.2311,0.4617
0.2869,6.5399,0.0645,straight,0.6908,6.8800,0.1106,0.2860,0.0234,1.2256,0.3787,0.0000
0.2481,13.3965,0.6236,path,1.3264,6.0600,0.0142,0.2463,0.0301,1.4678,0.7976,0.7093
0.8259,10.2487,0.4320,path,2.6456,6.9000,0.0095,-0.7152,0.4130,0.7862,0.3488,0.4923
0.2279,5.3113,0.6019,path,0.3280,6.9000,0.0154,0.1425,0.1779,1.6504,0.8593,0.7701
0.4291,1.2010,0.0861,turn,0.0000,6.9000,0.0000,nan,nan,0.9993,0.2060,0.0000
0.2950,3.5812,0.2443,path,3.4182,6.9000,0.0106,-0.1289,0.2653,1.1710,0.5127,0.5286
0.3478,3.0881,0.0825,combined,1.6170,6.9000,0.3431,0.2279,0.2627,1.2895,0.3792,0.0000
0.4768,22.4819,0.1133,path,2.8112,6.9200,0.0100,0.3376,0.3367,1.3820,0.5773,0.5016
0.3105,12.4523,0.3656,path,1.2159,6.9400,0.0064,0.1935,0.2428,0.8791,0.4682,0.3230
0.8552,24.0027,0.3662,path,1.5762,7.0000,0.0069,0.8322,0.1970,1.3760,0.6088,0.3448
0.3120,25.6872,0.7703,path,3.0881,7.0000,0.0161,0.3096,0.0385,1.3532,0.8637,0.8091
0.3464,5.5502,0.7406,path,1.0373,7.0000,0.0156,0.0091,0.3463,1.3138,0.7211,0.7773
0.0356,2.9499,0.2983,path,0.5486,7.0200,0.0060,-0.0088,0.0344,0.7105,0.2982,0.3011
0.1314,0.2604,0.6214,path,1.1051,7.0400,0.0119,0.1213,0.0505,0.9996,0.6337,0.5982
0.4869,2.9615,0.0437,straight,1.6122,7.0800,0.4869,-0.4453,0.1969,0.5380,0.2018,0.0000
0.3619,12.6880,0.9090,path,2.1085,7.1000,0.0082,0.2519,0.2599,1.2928,0.5550,0.4085
0.4368,5.0047,0.0783,straight,1.0116,7.1200,0.1404,0.4306,0.0728,1.2671,0.2772,0.0000
0.0864,2.2507,0.4508,path,2.3940,7.1200,0.0077,-0.0311,0.0806,0.7720,0.3989,0.3846
0.3253,5.2979,0.1547,turn,0.0000,7.1600,0.0000,nan,nan,0.9610,0.2216,0.0000
0.4080,1.9039,1.3304,path,1.9731,6.2000,0.0159,0.4023,0.0679,1.3567,0.8797,0.7970
0.4618,3.5017,0.1525,straight,0.9653,7.2400,0.4618,-0.4548,0.0803,0.4326,0.1175,0.0000
0.2922,0.3556,0.2703,lateral,0.3350,7.2400,0.2587,-0.0692,0.2839,0.3650,0.1260,0.0000
0.0969,11.1513,0.7278,path,2.0303,7.2600,0.0076,-0.0108,0.0963,1.3389,0.4709,0.3822
0.1877,3.0121,0.0647,lateral,0.2233,7.2800,0.1437,0.1790,0.0563,0.6511,0.1746,0.0000
0.3666,9.1743,0.1889,turn,0.0000,7.2800,0.0000,nan,nan,0.8254,0.1420,0.0000
0.3483,11.4486,0.2081,path,3.9589,7.2800,0.0110,0.1767,0.3002,1.3188,0.6146,0.5477
0.4747,2.3816,0.0356,turn,0.0000,7.3200,0.0000,nan,nan,0.4813,0.1153,0.0000
0.2983,3.4435,0.4819,path,2.8765,7.3200,0.0090,-0.2826,0.0954,0.7420,0.4365,0.4477
0.2857,0.5653,0.0832,lateral,0.3257,7.3200,0.2449,0.0898,0.2712,0.3781,0.1247,0.0000
0.5415,0.3414,0.0907,combined,1.6614,7.3400,0.5401,-0.5318,0.1017,0.5697,0.2396,0.0000
0.4506,2.3459,0.1519,lateral,0.0108,7.3600,0.0108,0.0003,0.4506,0.4666,0.1505,0.0000
0.2734,14.7658,0.1091,stand,0.0000,7.3800,0.0000,nan,nan,0.4351,0.1035,0.0000
0.0606,5.0471,0.3740,path,3.1649,7.3800,0.0075,0.0406,0.0449,1.3767,0.6911,0.7025
0.3225,10.8232,0.0547,combined,1.9183,7.3800,0.3225,-0.1437,0.2888,0.9838,0.3354,0.0000
0.3233,5.3575,0.0724,combined,2.0448,7.3800,0.3232,0.2582,0.1945,1.6347,0.4534,0.0000
0.3016,1.4975,0.0559,combined,2.0261,7.2400,0.3016,-0.2894,0.0851,0.6802,0.3021,0.3167
0.4591,1.7549,0.6109,path,3.7953,6.5800,0.0122,0.0357,0.4577,1.0405,0.6307,0.6059
0.5175,1.6336,0.0598,combined,1.0464,7.4400,0.5146,0.4296,0.2885,1.1232,0.2936,0.0000
0.2137,4.6769,0.4171,path,2.9964,7.4600,0.0085,-0.1562,0.1458,0.7586,0.4139,0.4233
0.4316,2.6778,0.9362,path,2.3108,7.4800,0.0144,0.3724,0.2182,1.5307,0.6931,0.7191
0.4594,6.2031,0.0869,straight,0.6565,7.4800,0.0047,0.4511,0.0868,1.0177,0.2493,0.0000
0.0632,3.9308,1.1740,path,3.3398,4.9800,0.0141,-0.0456,0.0437,1.3714,0.7323,0.7064
0.5618,2.2015,0.2147,combined,0.9704,7.4800,0.5618,0.3560,0.4347,1.0501,0.2745,0.0000
0.1862,9.7058,0.3019,path,0.6327,7.5000,0.0136,0.1851,0.0199,1.6414,0.8209,0.6809
0.4737,0.7977,0.1462,turn,0.0000,7.5200,0.0000,nan,nan,0.8118,0.1477,0.0000
0.3279,10.0700,1.2178,path,2.6242,7.5200,0.0106,-0.1708,0.2799,1.3225,0.5748,0.5291
0.3561,8.6366,0.0833,combined,1.2949,7.6000,0.0654,0.3542,0.0363,1.5003,0.3475,0.0000
0.4308,0.6078,0.0283,stand,0.0000,7.6200,0.0000,nan,nan,0.5146,0.0904,0.0000
0.2361,3.2243,0.1929,lateral,0.5880,7.6400,0.2239,-0.1056,0.2112,0.4119,0.1196,0.0000
0.3239,10.0571,0.1361,straight,0.8985,7.6400,0.2213,0.3048,0.1095,1.1071,0.3120,0.0000
0.3660,3.8326,0.0796,straight,1.2543,7.6600,0.3659,-0.3531,0.0965,0.6478,0.1669,0.0000
0.4214,6.0896,0.1119,combined,1.7292,7.6800,0.4214,-0.0455,0.4189,0.7832,0.2719,0.0000
0.0386,3.2662,0.0167,stand,0.0000,7.7000,0.0000,nan,nan,0.2239,0.0462,0.0000
0.4069,6.0798,0.0460,combined,1.3332,7.7000,0.3806,-0.1099,0.3918,0.6849,0.2229,0.0000
0.4337,12.2982,0.6531,path,4.0298,7.7000,0.0110,0.4254,0.0843,1.3296,0.6476,0.5516
