pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.5348,5.7570,0.1328,turn,0.0000,5.2800,0.0000,nan,nan,0.6583,0.2400,1.1901
0.4966,4.9301,0.1749,combined,1.4870,5.2800,0.4960,-0.4908,0.0759,0.8233,0.2532,0.5872
1.7308,56.8723,0.8264,path,3.1039,5.2800,0.6161,-1.6223,0.6032,1.7453,1.0331,0.7781
0.4733,5.0216,0.0946,combined,1.2952,5.3200,0.3854,0.4576,0.1208,1.2954,0.4142,1.2373
2.7925,10.3150,1.4423,path,2.7949,5.3200,0.4724,0.8724,2.6527,2.2319,1.3106,1.5447
0.4924,1.7266,0.0399,combined,1.7264,5.3200,0.4920,-0.4801,0.1092,1.0588,0.3023,1.4480
1.2753,4.9124,1.3876,path,4.0351,5.3400,0.0000,-0.6728,1.0834,1.8517,1.3692,1.5303
0.4944,5.0215,0.0837,straight,1.1212,5.3400,0.4791,-0.4926,0.0421,0.8865,0.1893,1.2480
0.5696,0.9230,0.0087,combined,1.5242,5.3600,0.5679,-0.4801,0.3066,0.6790,0.2227,1.0724
0.4716,4.5635,0.1309,turn,0.0000,5.4200,0.0000,nan,nan,0.8710,0.1643,0.5383
0.6117,0.6838,0.0670,combined,1.9835,5.4400,0.6117,-0.0624,0.6085,1.0900,0.4127,1.5152
0.0463,2.3198,0.0129,stand,0.0000,5.4600,0.0000,nan,nan,0.2849,0.0443,0.3467
0.5034,7.7469,0.1484,straight,0.8854,5.4600,0.0136,0.4985,0.0697,1.3721,0.3845,1.0865
1.9729,97.1385,1.2604,path,4.8750,5.4800,0.7692,-1.8849,0.5828,1.6453,0.8450,0.4355
0.4673,4.7450,0.0562,straight,0.6119,5.4800,0.0193,0.4662,0.0324,1.1335,0.3215,1.1895
0.4577,2.7742,0.0685,lateral,0.4218,5.4800,0.3606,-0.0435,0.4556,0.7231,0.2122,1.3305
0.5505,3.7273,0.0210,lateral,0.8781,5.5200,0.5505,0.0152,0.5503,0.9009,0.2455,0.9662
1.2712,3.7841,0.9764,path,0.8922,5.5200,0.0000,-0.6359,1.1007,1.6466,1.0999,1.2281
0.5943,3.5881,0.0796,straight,1.6460,5.5400,0.5735,-0.5943,0.0019,0.7866,0.2478,1.3441
0.5645,2.5760,0.1053,combined,0.6595,5.5400,0.1083,0.5542,0.1073,1.5203,0.3851,0.5656
0.5895,2.2845,0.1012,combined,2.3620,5.5800,0.2092,0.5794,0.1089,1.8703,0.6572,1.0584
0.0235,2.7169,0.0667,stand,0.0000,5.5800,0.0000,nan,nan,0.1482,0.0366,0.4786
1.4586,1.4563,0.9846,path,1.2366,5.5800,0.8938,0.0592,1.4574,1.7703,1.2623,0.9054
0.4579,7.3394,0.1356,lateral,1.4559,5.6000,0.4556,-0.1237,0.4409,0.8238,0.2835,1.4484
0.4808,0.7002,0.1501,lateral,0.8542,5.6200,0.4693,-0.0104,0.4807,0.7277,0.2390,1.0335
0.5367,6.2808,0.1476,combined,1.9686,5.6600,0.5304,-0.5367,0.0065,0.9674,0.3136,0.9127
