pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1094,6.1638,0.0501,lateral,0.6170,6.7800,0.1094,-0.1004,0.0435
0.1936,0.3126,0.0120,straight,0.1986,6.8200,0.1926,-0.0428,0.1888
0.1799,0.1902,0.0539,combined,0.3923,6.8400,0.0925,0.1419,0.1106
0.0559,4.0592,0.0243,lateral,0.6306,6.8600,0.0524,-0.0164,0.0535
0.1986,4.2558,0.0807,straight,0.7567,6.8600,0.1986,-0.1913,0.0534
0.1895,5.2604,0.0803,lateral,0.6765,6.8800,0.1810,-0.1786,0.0632
0.1851,1.7542,0.0763,turn,0.0000,6.9400,0.0000,nan,nan
0.0835,4.3121,0.0922,straight,0.9578,6.9800,0.0835,-0.0834,0.0039
0.1643,2.0427,0.0466,combined,0.9887,7.0000,0.1643,-0.1354,0.0931
0.1407,5.9423,0.0250,stand,0.0000,7.0400,0.0000,nan,nan
0.1626,3.5624,0.0329,combined,0.5521,7.0600,0.1534,-0.1607,0.0247
0.0569,4.5069,0.0342,lateral,0.3314,7.0800,0.0183,0.0559,0.0109
0.1769,4.7204,0.0334,lateral,0.2418,7.1200,0.0688,0.0180,0.1760
0.1185,1.1369,0.0455,combined,0.2487,7.1200,0.1157,-0.0658,0.0986
0.0992,8.8208,0.0629,combined,0.1204,7.1600,0.0956,-0.0066,0.0990
0.0203,0.1116,0.0516,combined,1.2078,7.1800,0.0201,0.0011,0.0202
0.0338,5.7560,0.0581,stand,0.0000,7.2200,0.0000,nan,nan
0.1360,13.5803,0.0596,turn,0.0000,7.2400,0.0000,nan,nan
0.1554,4.8282,0.0423,combined,0.7065,7.2400,0.1436,0.0453,0.1487
0.1265,2.2433,0.0656,combined,0.8713,7.2600,0.0899,0.0741,0.1025
0.0429,1.1890,0.1459,combined,1.0238,7.2600,0.0365,0.0216,0.0371
0.2429,3.7226,0.0393,turn,0.0000,7.3000,0.0000,nan,nan
0.3085,6.2815,0.0597,combined,1.2133,7.4000,0.3085,-0.1586,0.2646
0.0762,5.9325,0.0313,stand,0.0000,7.4200,0.0000,nan,nan
0.0142,5.2301,0.0208,stand,0.0000,7.4600,0.0000,nan,nan
0.0739,1.2345,0.1155,turn,0.0000,7.4600,0.0000,nan,nan
0.1676,3.9982,0.0592,combined,0.2561,7.4800,0.1669,-0.1671,0.0136
0.1295,7.7460,0.0426,turn,0.0000,7.5400,0.0000,nan,nan
0.1407,3.3121,0.0458,turn,0.0000,7.5400,0.0000,nan,nan
0.2085,1.5552,0.1059,turn,0.0000,7.5600,0.0000,nan,nan
0.0710,4.1505,0.0525,straight,0.9771,7.5800,0.0710,-0.0261,0.0660
0.1108,4.5369,0.0547,turn,0.0000,7.5800,0.0000,nan,nan
0.0430,2.2108,0.0094,stand,0.0000,7.6400,0.0000,nan,nan
0.1957,6.9004,0.0457,straight,0.5252,7.6600,0.1957,-0.1333,0.1433
0.0737,2.5355,0.0082,stand,0.0000,7.7400,0.0000,nan,nan
0.1343,1.9694,0.0236,lateral,0.6951,7.7400,0.1274,-0.0352,0.1296
0.0619,2.6281,0.0125,stand,0.0000,7.7800,0.0000,nan,nan
0.1362,4.2550,0.0925,turn,0.0000,7.7800,0.0000,nan,nan
0.3509,2.7788,0.0231,straight,1.0449,7.8200,0.3509,-0.3311,0.1161
0.0431,3.3644,0.1154,turn,0.0000,7.9200,0.0000,nan,nan
0.1790,2.8889,0.1071,lateral,0.2544,7.9200,0.1307,-0.1464,0.1029
0.2887,3.8847,0.0772,straight,0.8488,7.9600,0.2887,-0.2806,0.0678
