pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.2864,13.5761,0.0541,lateral,0.0481,5.9200,0.0281,0.0856,0.2733,0.2916,0.0939,0.5493
0.4969,11.2061,0.1535,combined,1.2578,5.9400,0.4969,-0.4159,0.2720,0.6408,0.2072,0.3797
0.6121,4.4706,0.0578,combined,1.1819,5.9400,0.6100,-0.3117,0.5268,0.7228,0.2384,1.1733
0.5836,0.2727,1.3463,path,4.4384,5.9600,0.0170,-0.5784,0.0773,1.5240,0.7137,0.8294
0.0597,10.0113,0.6940,path,2.4672,6.0000,0.0094,-0.0413,0.0431,1.1045,0.4455,0.4207
0.8512,7.3957,0.9956,path,1.6671,6.0000,0.0285,-0.7048,0.4774,1.5548,0.8679,1.3953
1.0586,8.0728,1.2417,path,1.3904,6.0200,0.0000,-0.1636,1.0459,1.4960,0.8133,1.5072
0.4802,9.0984,0.0740,lateral,1.0011,6.0200,0.4768,-0.4470,0.1753,0.4754,0.1274,0.5901
0.0911,14.5842,0.6854,path,2.9817,6.0800,0.0174,-0.0285,0.0865,1.1139,0.6807,0.7304
0.5016,6.8002,0.1336,straight,1.0643,6.0800,0.4960,-0.4625,0.1942,0.3594,0.1432,0.8721
0.6217,4.0364,1.2054,path,3.8491,6.1000,0.0216,-0.6164,0.0810,1.5137,0.7840,0.9795
0.4655,4.4457,0.1431,straight,1.8659,6.1200,0.4655,-0.4363,0.1623,0.5916,0.2606,0.0000
0.2112,1.8603,0.9066,path,4.1492,6.1400,0.0162,0.2098,0.0241,1.4235,0.8039,0.7406
0.5993,0.4839,0.0705,straight,0.9327,6.1400,0.0700,0.5991,0.0174,1.2924,0.3402,0.5130
0.4732,5.0601,0.1193,turn,0.0000,6.1400,0.0000,nan,nan,0.5449,0.1312,0.7106
0.5029,0.7869,0.0350,straight,0.2948,6.1600,0.0197,0.4760,0.1621,1.0373,0.3553,0.4778
0.3457,1.7449,0.1223,lateral,0.5834,6.1800,0.3387,-0.1426,0.3149,0.4122,0.1334,0.7935
0.5355,8.1546,0.0171,turn,0.0000,6.2600,0.0000,nan,nan,0.3350,0.1415,0.3340
0.3849,1.9168,0.1870,turn,0.0000,6.2600,0.0000,nan,nan,0.5433,0.1063,0.7242
0.4761,3.2781,0.1686,combined,2.2459,6.2600,0.4761,-0.4532,0.1462,0.7871,0.4212,1.4165
0.3248,7.4734,1.2423,path,3.7020,6.2800,0.0168,-0.3038,0.1147,1.4554,0.6115,0.6789
0.4342,0.3402,0.0501,turn,0.0000,6.2800,0.0000,nan,nan,0.3230,0.1081,0.3397
0.4214,0.2073,0.1242,combined,1.8472,6.2800,0.4214,0.2271,0.3550,0.7118,0.3734,1.0319
0.5958,8.6608,0.2670,path,3.7886,6.2800,0.0219,-0.5949,0.0329,1.4210,0.7621,1.1588
0.4282,3.7347,0.1311,combined,1.3931,6.3200,0.4241,-0.4279,0.0152,0.4989,0.1942,0.8241
0.5025,5.5790,0.1327,straight,1.0974,6.3200,0.2148,0.5025,0.0036,1.1912,0.3494,0.0000
0.3660,0.1601,0.0789,straight,1.6258,6.3400,0.1794,0.3559,0.0851,1.3363,0.3939,1.4423
0.6970,3.9993,1.1376,path,4.3045,6.3600,0.0157,0.0628,0.6941,1.4827,0.9080,0.8232
