pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0572,0.9995,0.0420,combined,1.2120,5.2600,0.0455,-0.0093,0.0565,1.1293,0.2883,0.0000
0.0564,3.4205,0.0246,stand,0.0000,5.2600,0.0000,nan,nan,0.1828,0.0397,0.0000
0.0197,2.0653,0.0630,combined,1.2532,5.2800,0.0097,-0.0139,0.0139,1.1272,0.2547,0.0000
0.0502,3.6219,0.0738,straight,1.4197,5.3000,0.0083,0.0287,0.0412,1.2352,0.3045,0.0000
0.0196,2.5115,0.0352,combined,1.2866,5.3000,0.0157,-0.0185,0.0066,1.2089,0.2529,0.0000
0.0174,2.2053,0.0310,combined,1.7418,5.3200,0.0167,-0.0173,0.0019,1.3741,0.3416,0.0000
0.0166,2.3487,0.0239,combined,0.2485,5.3200,0.0008,0.0048,0.0159,0.5787,0.0828,0.0000
0.0172,0.0957,0.0323,straight,1.4162,5.3400,0.0172,-0.0096,0.0143,1.3367,0.2933,0.0000
0.0165,0.0918,0.0298,combined,1.1989,5.3400,0.0004,-0.0008,0.0165,1.2026,0.2499,0.0000
0.0058,5.0693,0.0263,turn,0.0000,5.3400,0.0000,nan,nan,0.2452,0.0469,0.0000
0.0265,0.7206,0.0671,straight,0.7269,5.3600,0.0265,-0.0265,0.0006,0.7771,0.1603,0.0000
0.0104,2.0592,0.0133,combined,1.7330,5.3800,0.0104,-0.0017,0.0103,1.4024,0.3442,0.0000
0.0376,0.3598,0.0152,turn,0.0000,5.4000,0.0000,nan,nan,0.2938,0.0504,0.0000
0.0150,1.6311,0.0195,combined,1.8243,5.4000,0.0129,0.0144,0.0039,1.5564,0.4050,0.0000
0.0725,2.5987,0.0409,turn,0.0000,5.4200,0.0000,nan,nan,0.8755,0.1874,0.0000
0.0375,4.6926,0.0306,straight,1.8112,5.4200,0.0191,-0.0027,0.0374,1.5509,0.3625,0.0000
0.0387,2.7371,0.0678,turn,0.0000,5.4200,0.0000,nan,nan,0.4204,0.0571,0.0000
0.0068,3.3882,0.0169,lateral,0.2146,5.4200,0.0032,0.0053,0.0041,0.4410,0.0741,0.0000
0.0499,5.6323,0.0281,straight,0.7329,5.4200,0.0192,0.0333,0.0372,0.7838,0.1610,0.0000
0.0012,5.2829,0.0559,combined,0.7937,5.4400,0.0010,0.0006,0.0011,0.6726,0.1676,0.0000
0.0050,4.2625,0.0127,lateral,0.0967,5.5000,0.0038,-0.0050,0.0000,0.5486,0.0738,0.0000
0.0447,15.6283,0.0068,stand,0.0000,5.5200,0.0000,nan,nan,0.5429,0.1548,0.0000
0.0500,0.7812,0.0512,turn,0.0000,5.5400,0.0000,nan,nan,0.5259,0.0866,0.0000
0.0126,2.6022,0.0316,combined,0.5634,5.5600,0.0080,-0.0003,0.0126,0.8013,0.1230,0.0000
0.0191,4.6170,0.0280,turn,0.0000,5.6000,0.0000,nan,nan,0.5121,0.0922,0.0000
0.0514,2.1228,0.0513,combined,1.4058,5.6000,0.0441,-0.0514,0.0027,0.9901,0.2633,0.0000
0.0901,6.1476,0.0241,stand,0.0000,5.6000,0.0000,nan,nan,0.2374,0.0416,0.0000
0.0441,3.7113,0.0273,turn,0.0000,5.6200,0.0000,nan,nan,0.3513,0.0707,0.0000
0.0085,4.8009,0.0169,straight,1.9159,5.6200,0.0011,0.0085,0.0000,1.6102,0.3697,0.0000
0.0243,6.0050,0.0510,lateral,0.6379,5.6400,0.0023,-0.0003,0.0243,0.7634,0.1414,0.0000
0.0536,1.3375,0.0106,lateral,0.5826,5.6400,0.0471,-0.0073,0.0531,0.7613,0.1265,0.0000
0.0306,3.6598,0.0111,straight,1.8680,5.6600,0.0059,0.0270,0.0144,1.4015,0.3702,0.0000
0.0027,2.1904,0.0550,turn,0.0000,5.6600,0.0000,nan,nan,0.3518,0.0796,0.0000
0.0309,1.9684,0.0463,combined,1.0239,5.6800,0.0133,0.0186,0.0247,0.9145,0.2165,0.0000
0.0225,1.5814,0.0052,straight,0.2353,5.7000,0.0218,-0.0225,0.0001,0.4540,0.0800,0.0000
0.0467,2.5206,0.0100,lateral,0.1206,5.7000,0.0354,0.0380,0.0271,0.5087,0.1128,0.0000
0.0332,0.6394,0.0301,combined,1.7289,5.6800,0.0255,-0.0217,0.0252,1.4890,0.3901,0.0000
0.0188,1.5156,0.0506,combined,1.3903,5.7000,0.0056,-0.0149,0.0115,1.1747,0.2676,0.0000
0.0290,2.7279,0.0075,lateral,0.2812,5.7400,0.0032,0.0278,0.0084,0.5786,0.0841,0.0000
0.0291,4.5664,0.0347,lateral,1.2889,5.7400,0.0291,-0.0171,0.0235,1.1508,0.2358,0.0000
0.0367,9.7010,0.0199,lateral,0.6155,5.7600,0.0247,0.0346,0.0122,0.8945,0.1370,0.0000
0.0143,1.2008,0.0340,straight,1.7002,5.7600,0.0066,-0.0143,0.0005,1.4133,0.3222,0.0000
0.0233,3.7393,0.0344,combined,0.4589,5.7600,0.0139,0.0125,0.0197,0.5311,0.1046,0.0000
0.0313,3.6757,0.0270,combined,1.5037,5.7800,0.0226,0.0210,0.0232,1.3984,0.2949,0.0000
0.0105,0.8364,0.0747,straight,1.5054,5.7800,0.0038,0.0057,0.0088,1.2513,0.2974,0.0000
0.0326,1.6448,0.0781,lateral,0.6910,4.9400,0.0277,-0.0200,0.0258,0.8517,0.1933,0.0000
0.0101,0.2359,0.0029,lateral,0.5775,5.8000,0.0012,0.0008,0.0101,0.6981,0.1163,0.0000
0.0232,3.7405,0.0176,straight,0.0433,5.8000,0.0232,-0.0226,0.0052,0.4346,0.0863,0.0000
0.0041,7.2116,0.0663,straight,0.4049,5.8200,0.0004,-0.0039,0.0013,0.6637,0.1163,0.0000
0.0284,11.6727,0.0446,stand,0.0000,5.8400,0.0000,nan,nan,0.3151,0.0507,0.0000
0.0675,8.5442,0.0693,stand,0.0000,5.8600,0.0000,nan,nan,0.2487,0.0486,0.0000
0.0191,2.8772,0.0462,stand,0.0000,5.8800,0.0000,nan,nan,0.2451,0.0415,0.0000
0.0297,5.6262,0.0124,lateral,1.0068,5.8800,0.0221,-0.0081,0.0286,0.9829,0.1979,0.0000
0.0292,4.3493,0.0320,stand,0.0000,5.8800,0.0000,nan,nan,0.2830,0.0454,0.0000
0.0380,0.0330,0.0392,turn,0.0000,5.9000,0.0000,nan,nan,0.4255,0.0563,0.0000
0.0374,3.3977,0.0420,turn,0.0000,5.9000,0.0000,nan,nan,0.4299,0.0536,0.0000
0.0270,2.1704,0.0238,turn,0.0000,5.9200,0.0000,nan,nan,0.3830,0.0470,0.0000
0.0478,6.2865,0.0576,combined,1.5659,5.9600,0.0268,0.0306,0.0368,1.3397,0.3040,0.0000
0.0142,0.7916,0.0063,lateral,0.2053,5.9800,0.0054,-0.0142,0.0012,0.4782,0.0594,0.0000
0.0321,1.4771,0.0122,combined,2.0324,5.9400,0.0118,-0.0051,0.0317,1.3797,0.3923,0.0000
0.0472,3.0462,0.0274,combined,1.2217,5.9800,0.0320,-0.0105,0.0460,1.1663,0.2216,0.0000
0.0386,4.4187,0.0214,turn,0.0000,6.0000,0.0000,nan,nan,0.4828,0.0799,0.0000
0.0308,5.2056,0.0298,turn,0.0000,6.0200,0.0000,nan,nan,0.5869,0.0807,0.0000
0.0490,7.2344,0.0201,turn,0.0000,6.0400,0.0000,nan,nan,0.3907,0.0772,0.0000
0.0388,1.9754,0.0246,straight,1.8251,6.0600,0.0276,0.0002,0.0388,1.3888,0.3211,0.0000
0.0473,2.4437,0.0448,straight,1.0756,6.0600,0.0296,0.0234,0.0411,1.0932,0.2018,0.0000
0.0122,4.6412,0.0261,lateral,0.5368,6.0800,0.0114,0.0006,0.0121,0.7573,0.1263,0.0000
0.0104,0.6628,0.0275,lateral,1.2170,6.0800,0.0008,0.0001,0.0104,1.0987,0.2324,0.0000
0.0744,2.0956,0.0407,lateral,1.0914,6.0800,0.0510,-0.0052,0.0743,1.0959,0.2036,0.0000
0.0361,4.4909,0.0443,straight,0.2974,6.1000,0.0356,-0.0324,0.0159,0.3250,0.0830,0.0000
