pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1006,2.4364,0.1251,turn,0.0000,5.9200,0.0000,nan,nan
0.1635,3.6659,0.0733,straight,1.4151,5.9200,0.0884,0.0722,0.1467
0.0841,2.3874,0.2231,turn,0.0000,5.9400,0.0000,nan,nan
0.0194,2.0806,0.1503,lateral,1.1082,5.9600,0.0053,-0.0192,0.0029
0.1124,1.9919,0.0555,turn,0.0000,5.9600,0.0000,nan,nan
0.0655,0.1524,0.0326,lateral,1.0306,5.9800,0.0645,-0.0510,0.0410
0.0579,1.1562,0.1664,turn,0.0000,6.0200,0.0000,nan,nan
0.0825,5.1953,0.1815,straight,0.1738,6.0200,0.0522,0.0573,0.0594
0.2264,2.3619,0.0472,lateral,1.0605,6.0200,0.0758,0.2211,0.0486
0.0570,1.2443,0.1783,lateral,0.8624,6.0200,0.0474,0.0263,0.0506
0.0366,1.9482,0.1780,combined,0.1634,6.0400,0.0357,-0.0319,0.0180
0.1077,2.1016,0.2408,turn,0.0000,6.0600,0.0000,nan,nan
0.1853,5.1735,0.1595,lateral,1.2391,6.1000,0.1758,-0.1596,0.0941
0.0665,5.0799,0.2170,straight,0.3250,6.1000,0.0162,0.0612,0.0260
0.0968,4.7268,0.0867,combined,1.8306,6.1000,0.0968,0.0106,0.0962
0.1654,4.9949,0.0656,straight,1.9984,6.1000,0.1499,-0.0549,0.1560
0.1579,3.5576,0.0146,combined,0.5448,6.1000,0.1579,-0.1326,0.0856
0.0280,1.4271,0.1306,combined,0.3153,6.1000,0.0084,-0.0196,0.0201
0.0267,2.9929,0.0999,turn,0.0000,6.1200,0.0000,nan,nan
0.0892,2.2666,0.1050,turn,0.0000,6.1200,0.0000,nan,nan
0.0457,0.1925,0.0292,turn,0.0000,6.1400,0.0000,nan,nan
0.0362,2.6297,0.0651,turn,0.0000,6.1400,0.0000,nan,nan
0.0617,3.2113,0.1565,combined,2.1614,6.1600,0.0541,-0.0271,0.0554
0.0917,0.9848,0.0678,straight,1.1150,6.1800,0.0773,-0.0839,0.0368
0.2038,1.2820,0.0790,turn,0.0000,6.2200,0.0000,nan,nan
0.0310,2.6910,0.1909,combined,1.4166,6.2200,0.0078,-0.0263,0.0164
0.1081,1.2542,0.2316,lateral,0.5503,6.2600,0.0769,-0.0833,0.0689
0.1067,1.4494,0.1354,lateral,0.1730,6.3000,0.0435,-0.0861,0.0630
0.0603,2.8100,0.1773,lateral,1.3728,6.3000,0.0478,-0.0587,0.0139
0.0512,2.1997,0.0410,combined,1.4206,6.3400,0.0512,-0.0485,0.0166
0.0599,0.0452,0.0659,combined,0.7385,6.3600,0.0417,0.0026,0.0598
0.1534,0.6732,0.0456,straight,0.8642,6.3800,0.0754,0.0231,0.1517
0.0394,4.4715,0.0386,stand,0.0000,6.4000,0.0000,nan,nan
0.0354,1.1342,0.2053,straight,0.8589,6.4200,0.0159,0.0314,0.0165
0.0561,0.4226,0.1706,lateral,0.0215,6.4200,0.0065,0.0556,0.0076
0.0801,7.0053,0.0619,stand,0.0000,6.4400,0.0000,nan,nan
0.0319,0.0161,0.1872,combined,2.4174,6.5200,0.0196,-0.0126,0.0293
0.0514,3.7628,0.2097,turn,0.0000,6.5400,0.0000,nan,nan
0.0694,1.9604,0.0284,stand,0.0000,6.5400,0.0000,nan,nan
0.1685,1.4482,0.1972,combined,1.8695,6.5600,0.1302,-0.0834,0.1464
0.0774,1.2711,0.1203,combined,2.2227,6.5800,0.0774,-0.0119,0.0765
0.1669,2.6937,0.1287,combined,1.9744,6.5600,0.1660,-0.1606,0.0455
0.0218,0.6879,0.1974,lateral,0.6951,6.6000,0.0178,-0.0205,0.0074
0.0948,1.0349,0.1942,combined,1.3435,6.6000,0.0948,-0.0739,0.0593
0.0292,2.7967,0.1494,combined,1.1616,6.6000,0.0204,-0.0192,0.0219
