pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m,peak_speed_mps,mean_speed_mps,cmd_speed_mps
0.0520,1.2644,0.0193,straight,1.0974,6.3200,0.0393,-0.0517,0.0059,0.9135,0.2096,0.0000
0.0127,2.9906,0.0245,straight,1.6258,6.3400,0.0127,-0.0093,0.0087,1.3174,0.2825,0.0000
0.0215,1.1678,0.0190,straight,1.8395,6.3600,0.0173,-0.0182,0.0114,1.4016,0.3325,0.0000
0.0612,1.3258,0.0221,stand,0.0000,6.3600,0.0000,nan,nan,0.1923,0.0323,0.0000
0.1596,2.0837,0.0562,stand,0.0000,6.3600,0.0000,nan,nan,0.3112,0.0583,0.0000
0.0427,1.4131,0.0602,combined,1.5832,6.3800,0.0427,-0.0287,0.0316,1.1428,0.2550,0.0000
0.0683,2.7810,0.0459,lateral,1.0315,6.3800,0.0194,0.0682,0.0023,1.1154,0.1930,0.0000
0.0250,1.9498,0.0235,turn,0.0000,6.3800,0.0000,nan,nan,0.3282,0.0616,0.0000
0.0288,0.9500,0.0416,lateral,1.4344,6.4000,0.0250,-0.0276,0.0081,1.2498,0.2435,0.0000
0.0122,1.4564,0.0386,turn,0.0000,6.4200,0.0000,nan,nan,0.3162,0.0523,0.0000
0.0196,1.0182,0.0374,turn,0.0000,6.4400,0.0000,nan,nan,0.2522,0.0484,0.0000
0.0345,4.1243,0.0322,straight,0.6930,6.4400,0.0329,-0.0332,0.0094,0.5363,0.1301,0.0000
0.0283,2.5203,0.0723,straight,0.5941,6.4600,0.0173,-0.0255,0.0122,0.5677,0.1153,0.0000
0.0339,1.9845,0.0320,lateral,0.0729,6.4800,0.0027,0.0032,0.0338,0.4850,0.0518,0.0000
0.0258,3.7383,0.0386,lateral,1.4833,6.5000,0.0124,0.0061,0.0250,1.2160,0.2485,0.0000
0.0349,4.4317,0.0301,combined,0.7372,6.5000,0.0259,0.0057,0.0345,0.7084,0.1447,0.0000
0.0310,4.1123,0.0362,combined,0.1695,6.5200,0.0076,0.0075,0.0300,0.6989,0.0910,0.0000
0.0252,1.0481,0.0453,combined,1.5904,6.5400,0.0212,-0.0007,0.0251,1.2658,0.2556,0.0000
0.0408,1.3516,0.0545,lateral,0.9714,6.5400,0.0407,-0.0332,0.0237,0.9484,0.1835,0.0000
0.0145,5.2315,0.0189,turn,0.0000,6.5600,0.0000,nan,nan,0.2843,0.0495,0.0000
0.0241,1.7341,0.0486,straight,1.0324,6.5600,0.0189,0.0044,0.0237,0.9425,0.1800,0.0000
0.0137,5.4223,0.0559,turn,0.0000,6.5800,0.0000,nan,nan,0.4623,0.0644,0.0000
0.0908,6.0027,0.0523,lateral,0.5049,6.5800,0.0244,0.0900,0.0117,0.7944,0.1156,0.0000
0.0084,1.2406,0.0251,straight,1.1072,6.6000,0.0012,-0.0037,0.0075,1.0448,0.1878,0.0000
0.0393,1.1750,0.0209,combined,1.6896,6.6000,0.0041,0.0393,0.0017,1.3267,0.2856,0.0000
0.0113,0.1267,0.0323,lateral,0.9950,6.6200,0.0113,-0.0111,0.0020,1.1073,0.1670,0.0000
0.0059,3.1104,0.0447,combined,1.4333,6.6200,0.0001,-0.0046,0.0038,1.3716,0.2416,0.0000
0.0137,2.3980,0.0232,combined,1.7070,6.6400,0.0046,0.0077,0.0113,1.2926,0.2784,0.0000
0.0272,0.7809,0.0200,straight,0.0819,6.6600,0.0097,-0.0046,0.0268,0.2828,0.0434,0.0000
0.0439,6.9506,0.0162,stand,0.0000,6.6600,0.0000,nan,nan,0.2379,0.0403,0.0000
0.0747,1.6792,0.0414,stand,0.0000,6.7200,0.0000,nan,nan,0.1518,0.0383,0.0000
0.0049,0.7638,0.0159,turn,0.0000,6.7400,0.0000,nan,nan,0.2761,0.0525,0.0000
0.0257,2.2717,0.0127,straight,1.0172,6.7400,0.0015,0.0103,0.0236,0.9687,0.1707,0.0000
0.0297,0.7464,0.0403,combined,0.8587,6.7600,0.0075,0.0275,0.0114,0.9679,0.1439,0.0000
0.0565,2.7715,0.0038,combined,1.0358,6.7600,0.0365,0.0562,0.0063,1.1606,0.1924,0.0000
0.0458,4.1036,0.0158,stand,0.0000,6.7800,0.0000,nan,nan,0.1488,0.0351,0.0000
0.0528,0.6883,0.0245,turn,0.0000,6.8000,0.0000,nan,nan,0.2475,0.0526,0.0000
0.0313,2.6454,0.0583,combined,1.9363,6.8400,0.0172,0.0115,0.0291,1.3443,0.3386,0.0000
0.0364,1.2308,0.0294,stand,0.0000,6.8400,0.0000,nan,nan,0.1018,0.0307,0.0000
0.0404,5.3111,0.0392,straight,1.0820,6.8400,0.0185,0.0101,0.0391,1.5378,0.1902,0.0000
0.0209,1.7827,0.0149,turn,0.0000,6.8600,0.0000,nan,nan,0.2874,0.0473,0.0000
0.0427,3.9896,0.0176,combined,1.4139,6.8600,0.0370,0.0152,0.0399,1.1352,0.2408,0.0000
0.0254,0.0351,0.0188,lateral,0.9070,6.8600,0.0071,0.0079,0.0242,1.1185,0.1576,0.0000
0.0313,2.2803,0.0245,straight,0.7425,6.8600,0.0012,0.0291,0.0117,0.6854,0.1343,0.0000
0.0406,1.4982,0.0442,turn,0.0000,6.8600,0.0000,nan,nan,0.3403,0.0565,0.0000
0.0325,4.8798,0.0406,lateral,0.3772,6.8800,0.0272,-0.0272,0.0177,0.5730,0.0761,0.0000
0.0322,2.6971,0.0308,combined,1.0701,6.8800,0.0133,-0.0309,0.0090,0.9666,0.1763,0.0000
0.0605,4.4037,0.0419,lateral,1.2120,6.9000,0.0486,-0.0581,0.0166,1.0121,0.1858,0.0000
0.0704,2.6700,0.0147,stand,0.0000,6.9400,0.0000,nan,nan,0.1254,0.0346,0.0000
0.0276,4.9792,0.0428,lateral,0.4029,6.9800,0.0085,0.0258,0.0097,0.5391,0.0860,0.0000
0.0358,0.4925,0.0447,turn,0.0000,7.0000,0.0000,nan,nan,0.2540,0.0455,0.0000
0.0094,1.2934,0.0440,combined,0.5230,7.0000,0.0002,0.0078,0.0052,0.4295,0.0826,0.0000
0.0465,2.0940,0.0436,lateral,0.1437,7.0200,0.0431,-0.0460,0.0067,0.2906,0.0481,0.0000
0.0420,5.2414,0.0298,lateral,0.6071,7.0400,0.0416,-0.0254,0.0335,0.6784,0.1098,0.0000
0.0109,3.1051,0.0415,lateral,1.3931,7.0400,0.0042,-0.0105,0.0031,1.2025,0.2162,0.0000
0.0127,2.8020,0.0518,straight,1.7854,7.0600,0.0094,-0.0040,0.0121,1.2301,0.2756,0.0000
0.0164,0.9457,0.0624,turn,0.0000,7.0600,0.0000,nan,nan,0.3626,0.0701,0.0000
0.0193,2.1581,0.0102,combined,0.7449,7.0800,0.0170,-0.0075,0.0177,0.9094,0.1393,0.0000
0.0103,3.4673,0.0208,turn,0.0000,7.0800,0.0000,nan,nan,0.3916,0.0616,0.0000
