pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.3680,5.0173,0.0969,turn,0.0000,6.0600,0.0000,nan,nan
0.5207,3.7925,0.0704,lateral,1.2391,6.1000,0.5169,-0.5173,0.0595
0.1226,5.9878,0.0457,straight,0.3250,6.1000,0.0166,0.1187,0.0308
0.4018,0.3044,0.1148,combined,1.8306,6.1000,0.4018,-0.4000,0.0382
0.3249,0.5533,0.1540,straight,1.9984,6.1000,0.3249,-0.2586,0.1967
0.1141,0.6118,0.0877,combined,0.5448,6.1000,0.1126,-0.0920,0.0674
0.2776,7.7462,0.0859,turn,0.0000,6.1200,0.0000,nan,nan
0.1707,3.6114,0.0655,turn,0.0000,6.1200,0.0000,nan,nan
0.3618,2.4802,0.0478,turn,0.0000,6.1400,0.0000,nan,nan
0.4248,5.2387,0.0701,turn,0.0000,6.1400,0.0000,nan,nan
0.1619,1.5310,0.0474,combined,2.1614,6.1600,0.1619,-0.1607,0.0196
0.0663,4.3022,0.1158,turn,0.0000,6.2200,0.0000,nan,nan
0.4008,3.4716,0.1676,combined,1.4166,6.2200,0.4008,-0.3930,0.0787
0.4079,6.0443,0.0917,lateral,0.5503,6.2600,0.3162,-0.3734,0.1642
0.2271,1.0195,0.1061,lateral,0.1730,6.3000,0.0199,0.0741,0.2146
0.2518,2.0958,0.0193,lateral,1.3728,6.3000,0.2482,-0.1917,0.1633
0.4449,0.3980,0.0568,combined,1.4206,6.3400,0.4449,-0.4067,0.1803
0.2159,2.9324,0.1473,combined,0.7385,6.3600,0.2159,-0.1218,0.1782
0.0834,3.9350,0.1381,straight,0.8642,6.3800,0.0256,0.0797,0.0245
0.0344,14.8184,0.0400,stand,0.0000,6.4000,0.0000,nan,nan
0.4570,7.9245,0.0966,straight,0.8589,6.4200,0.3306,-0.3334,0.3125
0.1824,1.0372,0.0300,lateral,0.0215,6.4200,0.0208,-0.1253,0.1326
0.0581,0.6206,0.0709,stand,0.0000,6.4400,0.0000,nan,nan
0.3016,9.1276,0.1921,combined,2.4174,6.5200,0.3016,-0.1616,0.2547
0.2332,3.8682,0.1262,turn,0.0000,6.5400,0.0000,nan,nan
0.0680,8.6022,0.1027,stand,0.0000,6.5400,0.0000,nan,nan
0.4804,0.5625,0.2330,combined,1.8695,6.5600,0.4804,-0.3799,0.2940
0.2545,2.6585,0.2086,combined,1.9744,6.5600,0.2545,-0.2481,0.0568
0.3928,10.4280,0.3522,combined,2.2227,6.5800,0.3928,-0.1694,0.3544
0.0832,4.8869,0.1671,lateral,0.6951,6.6000,0.0100,0.0747,0.0365
0.4418,5.5643,0.1576,combined,1.3435,6.6000,0.4418,-0.2867,0.3362
0.1774,1.8164,0.1274,combined,1.1616,6.6000,0.1022,0.0678,0.1639
0.1492,2.5575,0.0348,straight,0.6590,6.6200,0.0494,0.1074,0.1035
0.4262,2.7694,0.1312,combined,1.4740,6.6400,0.3983,-0.2395,0.3525
0.0365,3.5696,0.0282,lateral,0.0159,6.6600,0.0003,-0.0158,0.0329
0.2185,8.9120,0.3222,straight,0.3055,6.6800,0.0391,0.1701,0.1371
0.2149,3.5787,0.1308,combined,1.5381,6.7000,0.1779,0.1260,0.1741
0.2244,1.7214,0.2623,lateral,1.3688,6.7400,0.2244,-0.1916,0.1168
0.1703,1.4038,0.0449,lateral,0.8684,6.7400,0.1463,0.0421,0.1650
0.1721,0.0825,0.1075,turn,0.0000,6.7400,0.0000,nan,nan
0.3635,2.2566,0.0319,lateral,0.2424,6.7400,0.2281,-0.1002,0.3495
0.4784,0.7801,0.1889,combined,0.7989,6.7600,0.4780,-0.4252,0.2192
0.0695,0.5871,0.0874,turn,0.0000,6.7800,0.0000,nan,nan
0.4588,1.1788,0.1333,lateral,1.1270,6.8000,0.4538,-0.4110,0.2039
0.0954,9.2351,0.0522,stand,0.0000,6.8000,0.0000,nan,nan
0.3138,2.6271,0.0956,lateral,1.4576,6.8200,0.1585,0.1901,0.2497
0.1520,2.5749,0.1359,straight,0.3782,6.8200,0.0586,0.1177,0.0962
0.4169,6.1477,0.0753,straight,1.4414,6.8600,0.3832,-0.2591,0.3266
0.0426,5.6253,0.1952,stand,0.0000,6.8600,0.0000,nan,nan
0.0763,0.0816,0.0101,straight,0.3712,6.8600,0.0636,-0.0007,0.0763
0.0279,0.4624,0.0573,turn,0.0000,6.9000,0.0000,nan,nan
0.0433,2.2959,0.0720,turn,0.0000,6.9000,0.0000,nan,nan
0.1358,8.5913,0.0158,stand,0.0000,6.9000,0.0000,nan,nan
0.1930,3.3315,0.1112,straight,1.0249,6.9400,0.1687,-0.1270,0.1454
0.4547,2.8448,0.0767,turn,0.0000,6.9600,0.0000,nan,nan
0.0925,0.0259,0.1013,straight,1.8244,6.9800,0.0907,-0.0037,0.0925
0.0848,4.1655,0.0647,straight,0.3896,6.9800,0.0848,-0.0779,0.0336
0.0950,11.1262,0.0190,stand,0.0000,6.9800,0.0000,nan,nan
0.2335,0.5462,0.0769,turn,0.0000,7.0200,0.0000,nan,nan
0.6045,5.6203,0.1687,combined,0.5910,7.0200,0.1550,-0.1088,0.5946
0.2960,5.5006,0.0308,turn,0.0000,7.0400,0.0000,nan,nan
0.4120,1.3553,0.1288,straight,1.8259,7.0400,0.4120,-0.4119,0.0091
0.0893,2.6373,0.0601,straight,0.4493,7.0600,0.0892,0.0437,0.0779
0.1998,7.8658,0.1267,combined,1.1181,7.0600,0.1987,-0.1865,0.0719
0.4318,2.7612,0.0998,combined,1.1445,7.1000,0.4139,-0.3970,0.1699
0.4633,3.6382,0.0860,straight,1.4458,7.1000,0.4633,-0.2993,0.3537
0.2997,1.4437,0.1720,straight,1.6518,7.1200,0.2639,-0.0262,0.2986
0.4045,2.0205,0.1142,turn,0.0000,7.1200,0.0000,nan,nan
0.0837,0.8609,0.1149,combined,0.4771,7.1200,0.0817,-0.0743,0.0384
0.0572,6.5748,0.0582,stand,0.0000,7.1600,0.0000,nan,nan
0.1749,2.0393,0.1322,turn,0.0000,7.1600,0.0000,nan,nan
0.3607,1.6269,0.0720,combined,0.2478,7.1600,0.0511,-0.0434,0.3581
0.4008,0.4762,0.1831,combined,2.3946,7.1800,0.4008,-0.3877,0.1013
0.4404,0.3060,0.0665,combined,1.5748,7.2000,0.4404,-0.4383,0.0430
0.3098,3.9541,0.1402,combined,0.6406,7.2200,0.3098,-0.2904,0.1077
0.8748,8.1001,0.3278,combined,1.9684,7.2200,0.8748,-0.8037,0.3454
0.1735,0.8937,0.1001,straight,1.4075,7.2400,0.1668,-0.0286,0.1712
0.4072,7.4005,0.1225,turn,0.0000,7.2400,0.0000,nan,nan
0.2502,1.9785,0.1501,combined,1.3707,7.2400,0.2502,-0.1802,0.1736
0.3134,3.6854,0.1190,combined,1.7547,7.2600,0.3134,-0.3060,0.0676
0.1489,3.0027,0.1768,lateral,0.8396,7.3200,0.1306,-0.0685,0.1322
