t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
15.857,0.0016644,0.010965,4387,0.026569,6.0873,-0.045347,0.096113,-0.83012,0.30497,-0.75261,1,2,0.83965,99.616,0.6,0,0,-0.24014,0.065805,-0.018883,0.58385,-0.49734,0.20116,-0.21534,0.018502,0.0078202,0.79213,-0.4173,-0.064544,3.1663,0.2337,-0.76838,-2.2512,3.8853,-1.1347,-1.6496,0.85337,-0.3351,2.3828,-6.0518,-4.567,6.6326,9.9571,-5.0235,5.4506,3.4374,-1.1039,-9.2505,-1.1727,-2.5989,1.0761,-3.4042,1.698,0.2455,0.08183,-0.0031916,0.22894,0.25133,0.027944,-0.29925,0.10991,-0.13398,0.43655,-0.25152,0.019403,15,15,4389,15,1003.9
15.877,0.0049782,0.016177,4393,0.020038,6.9116,-0.06446,0.10203,-0.76812,0.39161,-1.0457,1,2,0.87597,99.618,0.6,0,0,-0.20123,0.088312,-0.052453,0.56287,-0.39901,0.10688,-0.26036,0.029564,-0.011254,0.8444,-0.46276,-0.054712,1.9381,1.4904,-1.9061,-1.0275,5.8877,-4.7496,-2.5136,0.62789,-1.1305,3.0028,-7.0204,2.0848,7.1804,7.0247,-1.7286,9.1573,3.6835,1.8649,-9.1211,-3.315,0.080513,-2.7048,-0.25993,2.0496,0.19752,0.12789,-0.031073,0.23925,0.27363,0.095529,-0.2614,0.032318,-0.083376,0.40238,-0.23421,0.083801,18,18,4396,15,1003.9
15.897,0.006523,0.017845,4399,0.020057,7.6598,-0.083031,0.1049,-1.1134,0.39343,-1.5107,1,2,0.91573,99.621,0.6,0,0,-0.18864,0.098611,-0.065805,0.56363,-0.37254,0.052612,-0.30919,0.036812,-0.036431,0.89513,-0.67516,0.0045401,0.73632,0.41191,-0.6284,0.20196,0.83691,-2.852,-3.1828,0.40948,-1.6261,3.0773,-6.4799,6.4968,15.433,5.616,-0.42557,6.7868,13.637,1.5498,-11.321,1.1388,-0.72462,-2.2977,4.7291,0.29561,0.16742,0.055618,-0.071591,0.11546,0.30344,-0.078686,-0.25405,0.084031,-0.10481,0.41583,-0.26145,0.1342,20,20,4402,15,1003.9
15.921,0.0014072,0.01555,4407,0.024223,7.9687,-0.092701,0.10383,-0.41752,0.28588,-2.0026,1,2,0.95865,99.569,0.6,0,0,-0.16766,0.094415,-0.061608,0.58537,-0.39528,0.065698,-0.3706,0.03872,-0.061227,0.93328,-0.72261,0.22625,1.38,-0.11558,0.25854,1.3431,-1.0784,1.1957,-3.743,0.074959,-1.4311,2.3316,-2.4324,6.6023,12.873,0.90081,0.83963,6.5758,10.001,1.8698,-8.0861,2.1585,-0.88564,-5.2396,5.7125,-5.3193,0.17489,0.080546,-0.021627,0.23674,0.40091,-0.14154,-0.25052,-0.0010761,-0.068166,0.41002,-0.11094,0.15353,22,22,4412,15,1003.9
15.937,0.0016137,0.011213,4414,0.015651,7.6411,-0.093562,0.095175,0.0347,-0.13657,-2.8338,1,2,0.99898,99.617,0.6,0,0,-0.13256,0.086023,-0.024987,0.61475,-0.39511,0.086646,-0.44728,0.046731,-0.092889,0.96685,-0.66742,0.16354,1.3615,-0.51175,1.6194,0.83911,-0.058358,-0.58487,-2.7595,0.46542,-1.0455,0.61053,4.8659,-4.173,8.733,-5.2083,0.14952,0.49443,9.2082,-0.81423,0.34908,2.6923,-0.080513,-5.8725,0.94349,5.1425,0.04187,0.038427,0.10748,0.35007,0.36452,-0.27535,-0.14943,0.01706,-0.017832,0.18043,-0.043572,-0.044313,25,25,4417,15,1003.9
15.95,0.0052572,0.009825,4421,0.013001,6.4625,-0.086998,0.071877,0.51758,-0.85597,-2.9815,1,2,0.035182,99.623,0.6,0,0,-0.079919,0.07496,-0.00057221,0.62772,-0.3925,0.042891,-0.48734,0.057794,-0.10128,0.94053,-0.58699,-0.12644,2.8548,-0.55417,1.2139,0.6561,0.43198,-1.916,-1.6353,0.4571,-0.36064,-1.539,3.7644,5.8132,7.4392,-0.22095,-1.5527,-0.66894,16.546,-0.90474,-0.76799,3.2784,-2.5022,-5.2396,-0.24467,5.4825,-0.10127,0.066019,0.034241,0.58155,-0.25683,-0.09752,-0.067302,-0.21532,0.14805,-0.0022044,-0.11306,-0.16645,25,25,4423,15,1003.9
15.998,0.012445,0.032734,4426,0.047944,4.8639,-0.073624,0.042297,0.77782,-1.2419,-2.8435,1,2,0.095438,99.626,0.6,0,0,-0.024605,0.06199,0.012016,0.63573,-0.38007,0.059883,-0.49153,0.063516,-0.10472,0.89323,-0.50006,0.20367,2.9404,-0.82606,0.59686,0.43229,0.66014,1.7056,-0.089602,0.21923,-0.13219,-2.7494,6.8392,17.699,-1.1869,8.2011,-2.7198,0.029084,19.179,0.50566,0.90762,-0.56088,0.37956,-0.95978,-2.129,-1.9735,-0.057035,0.057733,0.00084538,0.68935,-0.73744,-0.0082642,-0.19901,-0.44105,0.18866,0.12654,-0.49483,0.081418,25,25,4429,15,1003.9
16.009,0.0015481,0.010872,4431,0.011189,3.919,-0.0637,0.024934,0.85469,-1.2409,-2.5769,1,2,0.14392,99.626,0.6,0,0,-0.0020981,0.047875,0.013161,0.63993,-0.37222,0.09013,-0.48581,0.060845,-0.10204,0.85966,-0.44253,0.32492,2.3525,-1.2652,0.19058,0.44897,0.77906,2.6751,0.46642,-0.21498,0.18081,-3.2199,6.2512,11.744,-5.0966,6.2462,-4.8231,-4.6769,19.988,-3.7969,0.62835,0.18696,0.81663,0.78527,-4.5848,-5.9268,-0.050965,0.038641,0.0077531,0.76695,-0.67848,0.017196,-0.26488,-0.30871,0.1938,0.068643,-0.48127,-0.065738,25,25,4433,15,1003.9
16.019,0.001464,0.0099635,4435,0.010296,3.2879,-0.055433,0.014844,0.91395,-1.2591,-2.3877,1,2,0.16615,99.613,0.6,0,0,0.022316,0.021935,0.0047684,0.64641,-0.36035,0.073668,-0.47704,0.065423,-0.10548,0.8196,-0.41899,0.27715,2.0919,-2.1019,-0.60816,0.50304,1.029,-1.3821,0.65207,0.47356,-0.2553,-3.2472,2.1679,-2.7173,-9.6386,9.5835,-2.6714,-8.7741,18.334,-2.9185,2.5832,-1.1727,1.8495,4.5363,-3.6559,-6.3676,-0.0074071,0.022965,-0.010863,0.70048,-0.61214,0.015625,-0.22781,-0.21827,0.11428,-0.0010658,-0.42701,-0.10424,25,25,4437,15,1003.9
16.03,0.0057878,0.010617,4439,0.010912,2.1665,-0.037811,-0.00042869,1.0672,-1.1409,-2.0755,1,2,0.19531,99.631,0.6,0,0,0.040627,0.0013352,-0.0024796,0.65099,-0.34956,0.032686,-0.47627,0.073053,-0.10853,0.79747,-0.41812,0.15522,2.2344,-2.3716,-0.853,0.54362,1.2399,-3.9795,0.23856,0.8501,-0.32083,-2.9375,1.2052,-11.416,-10.803,9.5462,-2.8407,-9.0807,19.986,-5.7467,4.6777,-2.1925,2.3088,0.14542,-3.5929,-0.92083,0.050215,0.01148,-0.018297,0.59729,-0.56514,0.017431,-0.19822,-0.18052,0.10912,-0.044582,-0.37305,-0.11759,25,25,4441,15,1003.9
16.057,0.0054786,0.016134,4446,0.02615,1.2151,0.020877,-0.003729,1.4202,-0.89582,-1.1193,1,2,0.23594,99.632,0.6,0,0,0.078393,-0.027657,-0.012398,0.66625,-0.31928,-0.077869,-0.46902,0.075723,-0.10319,0.78107,-0.37964,-0.11298,1.6251,-1.347,-0.15201,0.80842,1.636,-4.8554,0.75773,-0.12462,0.51511,-0.46759,2.7254,-9.5542,-15.841,9.5835,0.79363,-1.5415,21.438,-5.5861,0.76799,-4.6703,2.7923,-5.0989,-0.60862,4.9766,0.028907,0.020262,0.016357,0.46841,-0.45793,-0.00044593,-0.10537,-0.045985,0.094626,0.057609,-0.28314,-0.15678,25,25,4449,15,1003.9
16.07,0.0058237,0.010283,4453,0.013688,2.9806,0.044892,0.026292,1.3971,0.60328,0.22798,1,2,0.27574,99.624,0.6,0,0,0.030709,-0.043679,0.047494,0.75742,-0.25498,-0.22856,-0.41142,0.037575,-0.026894,0.76085,-0.3293,-0.021953,-2.833,-0.062183,1.8822,3.7386,0.54192,-0.97251,1.4983,-1.8876,2.5671,-1.2843,-0.47338,0.60395,-22.108,9.8451,-3.4701,6.4352,-6.8836,4.4729,9.1211,-19.614,11.838,-22.924,0.96937,-3.5606,-0.017605,0.0076666,0.085691,0.40225,-0.31042,-0.063346,0.020979,0.044249,0.05936,0.21598,-0.12258,-0.16544,25,25,4455,15,1003.9
16.097,0.0055838,0.016605,4461,0.027095,4.9574,0.065315,0.056787,0.77721,1.3018,2.05,1,2,0.31668,99.631,0.6,0,0,-0.15354,-0.023461,0.066949,0.95121,-0.39977,0.080239,-0.33513,-0.0040055,0.0074388,0.60483,-0.38503,-0.19053,-5.9552,0.24677,-0.074247,6.2884,-5.4154,11.603,1.2725,-1.3755,0.84736,-3.9213,-2.027,0.37795,8.3448,8.5747,-4.773,1.7741,-10.055,-4.3079,-8.4742,-26.231,15.192,-8.6975,-7.4938,1.8167,-0.1023,-0.078875,0.13657,0.45744,-0.29338,-0.013256,0.063168,0.011175,-0.022762,0.12458,-0.14743,-0.15733,30,30,4464,15,1003.9
16.118,0.0012505,0.012934,4469,0.021105,7.2635,0.094436,0.084703,1.0926,1.2966,1.242,1,2,0.35762,99.64,0.6,0,0,-0.3088,-0.021172,0.051308,1.0966,-0.70998,0.002849,-0.313,-0.041772,0.030327,0.56287,-0.44481,0.080292,-4.391,0.43919,-1.1926,3.9624,-10.941,-14.447,1.2766,-1.4334,0.62954,-1.1658,-2.6471,3.3189,15.977,3.2784,-2.9132,-5.1692,1.011,-1.8511,-10.156,-11.751,7.6776,-16.619,-10.126,-7.6786,-0.19316,-0.071897,0.13838,0.53588,-0.35055,-0.065244,0.10089,-0.011537,-0.039409,0.29579,0.19649,-0.044558,34,34,4473,15,1003.9
