t_s,L_Ankle_Roll_ser,L_Ankle_Roll_par,R_Ankle_Roll_ser,R_Ankle_Roll_par
1.96158,0.0126007,0.0852598,-0.0046306,0.0791562
1.96359,0.0126007,0.0852598,-0.0046306,0.0791562
1.9656,0.0121752,0.0848783,-0.0046306,0.0791562
1.96759,0.0126008,0.0852598,-0.0046306,0.0791562
1.96959,0.0126007,0.0852598,-0.0046306,0.0791562
1.97439,0.0126007,0.0852598,-0.0046306,0.0791562
1.97494,0.0126007,0.0852598,-0.0046306,0.0791562
1.9756,0.0126007,0.0852598,-0.0046306,0.0791562
1.97809,0.0126007,0.0852598,-0.0046306,0.0791562
1.9847,0.0126007,0.0852598,-0.0046306,0.0791562
1.98712,0.0126007,0.0852598,-0.0046306,0.0791562
1.99027,0.0126007,0.0852598,-0.0046306,0.0791562
1.99182,0.0126007,0.0852598,-0.0046306,0.0791562
1.99248,0.0126007,0.0852598,-0.0046306,0.0791562
1.99377,0.0126007,0.0852598,-0.0046306,0.0791562
1.99437,0.0126007,0.0852598,-0.0046306,0.0791562
1.99644,0.0126007,0.0852598,-0.0046306,0.0791562
1.99697,0.0121752,0.0848783,-0.0046306,0.0791562
1.99869,0.0126008,0.0852598,-0.0046306,0.0791562
2.00063,0.0126007,0.0852598,-0.0046306,0.0791562
2.00276,0.0126007,0.0852598,-0.0046306,0.0791562
2.00387,0.0126007,0.0852598,-0.0046306,0.0791562
2.00577,0.0126007,0.0852598,-0.0046306,0.0791562
2.00769,0.0126007,0.0852598,-0.0046306,0.0791562
2.00966,0.0126007,0.0852598,-0.0046306,0.0791562
2.01162,0.0126007,0.0852598,-0.0046306,0.0791562
2.01595,0.0126007,0.0852598,-0.0046306,0.0791562
2.01647,0.0126007,0.0852598,-0.0046306,0.0791562
2.01758,0.0126007,0.0852598,-0.0046306,0.0791562
2.0196,0.0126007,0.0852598,-0.0046306,0.0791562
2.02162,0.0126007,0.0852598,-0.0046306,0.0791562
2.02372,0.0126007,0.0852598,-0.0046306,0.0791562
2.02562,0.0126007,0.0852598,-0.0046306,0.0791562
2.0276,0.0126007,0.0852598,-0.0046306,0.0791562
2.02962,0.0126007,0.0852598,-0.0046306,0.0791562
2.03165,0.0126007,0.0852598,-0.0046306,0.0791562
2.03361,0.0126007,0.0852598,-0.0046306,0.0791562
2.03562,0.0126007,0.0852598,-0.0046306,0.0791562
