t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
37.822,0.0051841,0.014859,13134,0.025839,0.87192,0.0094772,0.011907,0.44389,-1.334,-1.3397,0,0,0,99.777,0,0,0,0.043297,-0.024987,-0.012016,0.20657,0.16815,0.044818,-0.06733,0.028801,-0.13523,0.37137,0.00099476,0.0024893,0.97945,-0.013248,-0.024068,1.3072,2.3117,-0.55557,-0.51274,0.38004,-0.031825,-0.46373,-0.24627,0.39867,9.5092,9.4714,-0.17253,8.3144,17.179,-0.11849,-6.7722,0.76484,-0.37956,-4.1143,-1.1183,0.1684,0.20402,-0.073822,0.0095995,-0.23997,0.15962,0.011509,0.11954,-0.038604,-0.095343,-0.30887,-0.035912,0.13651,0,0,13136,10,1009.4
37.836,0.0015544,0.0047119,13141,0.014023,1.3217,0.017213,-0.015359,0.43511,-1.4838,-1.7298,0,0,0,99.778,0,0,0,0.065042,-0.025368,-0.012398,0.22526,0.20419,0.038527,-0.074197,0.038338,-0.13676,0.35306,-0.010611,0.013562,1.2322,-0.014647,-0.033793,0.93545,1.8762,-0.27702,-0.31952,0.55766,-0.0927,-1.0933,-0.72055,0.64682,7.5686,8.6495,-0.54059,6.3648,15.662,0.09093,-6.493,0.4589,0.011502,-2.4722,-0.75713,0.0084959,0.24296,-0.083824,0.00048221,-0.18669,0.17524,0.00376,0.067163,-0.059509,-0.091555,-0.39299,-0.11049,0.17896,0,0,13142,10,1009.4
37.863,0.0054775,0.017458,13148,0.027443,3.7407,0.030679,-0.05764,0.42757,-1.6287,-2.1187,0,0,0,99.778,0,0,0,0.097086,-0.025368,-0.013924,0.2409,0.23773,0.037171,-0.085641,0.046731,-0.13905,0.32406,-0.036112,0.023157,1.635,-0.017812,-0.076198,0.74643,1.6321,-0.10128,-0.63814,0.40498,-0.08228,-1.464,-1.2974,0.3727,3.8399,8.2385,-0.011502,3.833,10.255,1.664,-4.3985,-1.7166,1.1617,-1.716,-1.166,0.19003,0.29279,-0.085104,-0.0011113,-0.16026,0.17414,0.018625,0.031659,-0.051498,-0.11493,-0.45026,-0.15684,0.23477,0,0,13152,10,1009.4
37.883,0.0012853,0.011058,13157,0.019147,5.7429,0.045773,-0.089202,0.50704,-1.7562,-2.3176,0,0,0,99.778,0,0,0,0.10586,-0.042916,-0.0085832,0.24662,0.22928,0.056588,-0.092889,0.061227,-0.11845,0.27218,-0.072841,0.047296,-0.16546,-0.90725,0.31446,-0.017866,-1.2525,1.0372,-0.10486,0.5067,1.021,-2.2287,-1.2359,1.4544,-11.45,3.2784,1.4377,-8.7741,-4.7695,0.0040027,5.9344,-6.4316,0.51758,-1.367,-0.88095,0.92592,0.35087,0.013612,0.0034688,-0.19917,0.22643,0.10672,-0.10703,-0.014703,-0.11176,-0.41945,-0.23984,0.27138,0,0,13160,10,1009.4
37.903,0.0014713,0.010092,13166,0.020421,7.5404,0.073481,-0.10928,1.1066,-1.027,-1.0961,0,0,0,99.78,0,0,0,0.1112,-0.065423,0.0097276,0.24166,0.1337,0.081298,-0.099374,0.053979,-0.10243,0.19322,-0.11147,0.11442,-0.24772,-0.89642,0.89077,-0.55264,-4.6347,0.94113,-0.06677,-0.50102,0.48308,-3.4058,-1.5972,2.9812,-8.2155,1.6826,-1.1387,-5.8725,-2.7629,-1.4415,3.9796,-5.0971,0.40256,0.3781,-3.0245,-0.010909,0.38461,-0.070678,0.032765,-0.025778,0.38614,0.10002,-0.12758,-0.038782,-0.072547,-0.53215,-0.29799,0.30901,0,0,13168,10,1009.4
37.916,0.0053362,0.0097995,13172,0.013011,8.6663,0.096773,-0.11643,1.2428,-0.54041,-0.53584,0,0,0,99.78,0,0,0,0.09556,-0.083352,0.020409,0.22297,0.032842,0.071824,-0.10433,0.032616,-0.1009,0.12875,-0.15652,0.1616,-0.88062,-1.03,0.43728,-1.0207,-5.6018,-0.85727,-0.45251,-1.2239,0.060794,-3.6892,-2.7096,2.5771,-4.2588,1.1727,-1.4837,-0.90161,0.097831,-1.6536,-0.20945,-5.4307,1.0007,-1.9486,-4.7076,0.58964,0.46211,-0.131,0.023606,0.095844,0.36407,0.075164,-0.20897,-0.069535,-0.11295,-0.67128,-0.33114,0.33691,0,0,13174,10,1009.4
37.936,0.0048294,0.009027,13181,0.020088,9.687,0.11894,-0.12045,1.3522,-0.24838,-0.27099,0,0,0,99.779,0,0,0,0.074197,-0.092889,0.016594,0.20619,-0.054954,0.018892,-0.11692,0.019646,-0.11006,0.074578,-0.19057,0.17675,-1.0613,-0.32927,-0.26607,-0.89312,-4.7516,-3.3047,-0.67074,-0.19896,-0.83674,-2.4725,-0.8275,0.18065,-3.9796,-2.2605,-0.21853,0.78527,2.6279,-0.077984,0.48872,-15.24,4.8231,-11.456,-16.163,2.1876,0.44524,-0.21355,0.0097078,0.14023,0.30192,0.042781,-0.23343,-0.18317,-0.081413,-0.82465,-0.46789,0.55625,0,0,13182,10,1009.4
37.987,0.0014566,0.035323,13188,0.050647,9.4702,0.10336,-0.12921,0.1312,-0.2591,-0.11245,0,0,0,99.763,0,0,0,0.055123,-0.070382,0.0028611,0.19703,-0.11072,-0.03905,-0.11158,0.055886,-0.12646,0.083352,-0.12209,0.098665,-1.3988,1.3912,-0.73369,-0.55554,-2.9,-3.1208,0.54639,1.701,-0.60054,0.52003,3.6669,-4.5206,8.4742,-4.4872,1.0927,4.9582,2.1664,2.3045,-6.7923,-11.127,1.1617,-9.0807,-13.517,6.2365,0.33736,-0.12746,0.013203,-0.0015038,0.19689,0.011227,-0.20914,-0.2277,-0.016644,-0.68419,-0.34353,0.60333,0,0,13193,10,1009.4
38.007,0.0015361,0.012561,13196,0.02019,9.2673,0.095211,-0.13095,-0.95618,-0.43454,-0.35175,0,0,0,99.781,0,0,0,0.02842,-0.039483,-0.0040055,0.18673,-0.13597,-0.0058006,-0.11349,0.058938,-0.12379,0.093271,-0.11627,0.098933,-0.90775,1.359,-0.061229,-0.44986,-0.74504,3.0446,-0.45407,0.046247,-0.044215,0.30206,-0.86517,2.1787,11.062,1.9546,-0.21853,2.4722,3.5433,3.2981,-15.433,-7.4325,2.5022,-10.23,-13.3,6.4641,0.34694,0.097687,0.058535,-0.32794,0.014764,0.010169,-0.060136,-0.014576,-0.24136,-0.37236,-0.11515,0.18903,0,0,13199,10,1009.4
38.037,0.0014763,0.021465,13204,0.03027,9.2654,0.094278,-0.13158,-0.50498,-0.20357,-1.774,0,0,0,99.779,0,0,0,0.026131,-0.030709,0.0066758,0.18978,-0.10176,0.11602,-0.13447,0.07496,-0.1257,0.107,-0.17239,0.25536,0.070453,0.26987,0.5934,0.48016,2.4051,5.585,-1.2442,0.86958,-0.050295,0.87334,-2.4502,8.4047,17.336,-8.6495,0.58659,17.257,4.4086,-1.892,-21.692,-12.647,2.2363,-15.09,-15.243,3.5991,0.058202,0.30413,0.087027,-0.88613,-0.17738,0.32443,0.1771,0.12883,-0.17821,0.03856,-0.020348,0.37664,0,0,13209,10,1009.4
38.055,0.0012447,0.01572,13212,0.017559,9.0129,0.091819,-0.12791,-0.48411,-0.12166,-3.1352,0,0,0,99.774,0,0,0,0.034905,-0.030709,0.012779,0.25044,-0.0050229,0.15649,-0.15774,0.068856,-0.12341,0.15621,-0.22743,0.37847,0.32961,-0.50392,0.19336,3.1893,4.4039,0.2699,-1.1577,-0.63702,0.16204,2.4508,-2.5474,4.827,18.152,-11.517,0.10352,17.257,-1.226,-4.2612,-22.524,-20.125,3.4451,-20.365,-18.54,8.1408,-0.12587,0.54374,0.030318,-0.80752,0.040009,0.49572,0.26557,0.15646,-0.14573,0.25077,0.099813,0.24204,0,0,13215,10,1009.4
38.066,0.0014661,0.011287,13217,0.011776,9.1129,0.11789,-0.10701,-0.6164,-0.13385,-3.5039,0,0,0,99.776,0,0,0,0.04139,-0.04902,0.012016,0.29622,0.0382,0.12728,-0.17414,0.057794,-0.12303,0.18254,-0.27119,0.38219,0.60597,-1.5888,-0.027866,4.4861,4.3218,-2.2991,-1.5431,-1.0393,0.060725,2.6035,-4.116,1.0235,17.472,-9.5835,-0.14952,11.456,-0.97874,-2.6274,-19.92,-19.064,4.4473,-21.96,-15.987,6.2912,-0.087984,0.37953,-0.039311,-0.56865,0.4665,0.37648,0.15193,0.17758,-0.19768,0.047702,-0.076375,0.1732,6,6,13220,10,1009.4
