t_s,low_state_age_s,policy_state_age_s,low_state_seq,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,pub_hz,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,gate_rej_legs,gate_rej_total,gate_samples,gate_dt_p99_ms,gate_dt_max_ms
31.19,0.0016032,0.010236,12494,0.0165,8.6253,-0.088539,0.12191,-0.52981,-0.073554,-1.0276,1,2,0.94986,98.361,0.6,0,0,-0.19398,0.055123,-0.054742,0.53159,-0.43147,-0.1243,-0.27066,0.042916,-0.013542,0.86309,-0.62721,0.1198,2.0737,0.59444,-0.99276,-1.0891,1.6834,-6.4044,-0.87486,0.17164,-0.80432,1.5356,-5.2055,0.95118,7.0511,11.556,-1.9462,5.4506,9.7229,4.0674,-8.3448,-1.3427,-0.67861,-4.044,5.6385,-3.1047,0.18285,0.060438,-0.024178,0.14979,0.30429,-0.068023,-0.23517,0.05618,-0.11452,0.38623,-0.24587,0.18444,17,17,12496,10,1011.1
31.222,0.0014387,0.021254,12502,0.031686,8.603,-0.09592,0.1157,0.047662,0.012683,-2.2302,1,2,0.99099,98.364,0.6,0,0,-0.13905,0.065423,-0.060464,0.56516,-0.39893,0.10056,-0.31643,0.049401,-0.051308,0.88102,-0.64935,-0.019138,1.7245,0.75501,-0.090289,1.5715,3.3473,12.277,-1.8659,0.53484,-1.589,0.49229,0.51685,-8.0388,10.803,5.4678,0.011502,8.391,7.6697,-4.3591,-9.6386,-0.39092,-0.6326,-3.9033,2.3146,4.2954,0.038917,-0.0076152,0.058877,0.46385,0.19579,0.038285,-0.056948,-0.066413,0.063002,0.19184,-0.099209,0.029656,19,19,12506,10,1011.1
31.231,0.0014866,0.0089179,12508,0.0092772,8.8312,-0.10194,0.11581,-0.06723,0.031949,-2.6984,1,2,0.034264,98.371,0.6,0,0,-0.12341,0.06733,-0.053597,0.5869,-0.37628,0.20728,-0.34428,0.054742,-0.068475,0.88407,-0.63748,-0.0037595,1.2971,0.13911,0.58212,1.7566,1.878,-0.015498,-2.2571,0.40689,-1.5043,0.29433,1.094,4.6252,11.838,5.1341,-1.656,6.7165,13.765,-5.7656,-10.544,0.39092,-0.40256,-4.3956,2.2116,2.699,-0.17262,0.1041,-0.0041552,0.56118,-0.201,0.032779,0.075575,-0.28688,0.17848,0.18695,-0.15687,-0.085419,21,21,12509,10,1011.1
31.252,0.0015871,0.011934,12514,0.020783,8.44,-0.10577,0.10272,-0.21281,0.16647,-2.6209,1,2,0.070019,98.365,0.6,0,0,-0.11273,0.05169,-0.033761,0.6117,-0.38109,0.010824,-0.38319,0.05436,-0.081064,0.88331,-0.59569,0.16359,0.71305,-0.83448,1.1078,1.5981,0.39107,-12.317,-2.4654,-0.017905,-0.73221,-0.11775,3.3112,9.5,11.45,-0.084982,-0.83963,1.6578,15.137,-1.989,-7.0511,2.2265,-1.2307,-2.2977,2.5043,-2.7124,-0.24896,0.13238,-0.012392,0.677,-0.60565,-0.011951,-0.017062,-0.53853,0.23381,0.30056,-0.30326,-0.11386,22,22,12516,10,1011.1
31.27,0.0024221,0.010901,12520,0.017998,7.6539,-0.098304,0.090598,0.62785,-0.3731,-3.2523,1,2,0.10934,98.377,0.6,0,0,-0.071527,0.056268,-0.016594,0.64717,-0.40992,-0.031941,-0.44003,0.047112,-0.092889,0.87072,-0.51806,0.16846,2.1831,0.4217,0.80884,1.3796,-0.99875,1.7734,-2.2989,-0.41464,-0.45159,-0.57719,3.3789,-1.3198,5.7948,8.7615,-2.0187,-1.9486,14.435,2.6153,-1.7454,-1.2067,0.19553,-1.4251,-0.12782,0.29821,-0.18139,0.055059,0.039329,0.73238,-0.6562,0.015126,-0.086983,-0.20952,0.18689,0.11384,-0.4145,-0.2238,23,23,12522,10,1011.1
31.299,0.0012786,0.018779,12528,0.028839,5.5011,-0.081378,0.051008,0.77412,-0.57335,-3.2661,1,2,0.14934,98.382,0.6,0,0,-0.024224,0.046731,-0.0062943,0.65251,-0.38808,0.11139,-0.46407,0.047494,-0.096704,0.8547,-0.46548,0.17347,2.377,-0.9058,0.36167,0.10616,1.5682,6.074,-1.1127,0.36539,-0.44255,-0.88267,2.4547,1.558,-2.304,11.01,-1.3917,-5.6615,12.222,-4.6339,2.0247,-3.4249,2.1637,-1.367,-1.94,0.87568,-0.13786,0.0497,0.016272,0.74257,-0.6503,0.05086,-0.11615,-0.24584,0.18859,0.136,-0.46055,-0.17441,26,26,12532,10,1011.1
31.313,0.0017659,0.014037,12534,0.014685,4.5962,-0.071218,0.036951,0.67679,-1.0753,-2.4816,1,2,0.18863,98.394,0.6,0,0,0.039864,-0.016594,-0.0040055,0.64565,-0.37016,0.017768,-0.48047,0.061608,-0.10929,0.80549,-0.43903,0.22393,2.4376,-2.2613,0.47482,-0.011984,0.2382,-4.8186,-0.25529,0.19091,-0.11104,-2.1849,0.40911,-0.14461,-17.336,6.4686,-0.26454,2.2395,18.009,-2.571,10.803,-4.7436,7.6245,-5.7319,0.0076788,-3.7325,-0.06032,0.030203,-0.017275,0.70815,-0.62449,0.03226,-0.19788,-0.29642,0.15706,0.068898,-0.39596,-0.17998,26,26,12538,10,1011.1
31.331,0.0014552,0.012454,12541,0.017559,3.0707,-0.046689,0.026324,0.89304,-0.99539,-0.98708,1,2,0.22682,98.393,0.6,0,0,0.049783,-0.023461,0.0093462,0.6857,-0.38553,0.013062,-0.44728,0.041772,-0.078393,0.77802,-0.41294,0.0041585,0.20884,-0.067806,0.60743,2.8761,-0.89384,-0.088595,2.425,-1.181,1.9895,-1.3685,2.8125,-13.967,-27.514,5.5048,0.37956,6.4352,4.8418,0.11717,11.709,-20.517,17.174,-14.463,-3.0697,-1.0927,-0.080359,0.095348,0.07164,0.54654,-0.50154,0.043991,-0.023402,-0.073763,0.051627,0.18441,-0.22685,-0.16657,28,28,12545,10,1011.1
31.352,0.0013687,0.012325,12550,0.021152,2.2949,-0.029275,0.027341,1.1769,0.017757,1.3647,1,2,0.26927,98.4,0.6,0,0,-0.037575,-0.010491,0.023079,0.84173,-0.421,0.032379,-0.37785,0.0097276,-0.058556,0.75055,-0.35319,-0.15476,-4.5282,0.8409,0.32418,7.3327,-2.3754,0.41921,1.3402,-1.4772,0.509,-0.8839,0.4669,1.3236,-16.384,11.829,-2.7923,5.6615,-7.7216,-0.86751,15.841,-51.958,24.828,-6.7165,-0.11293,-0.34344,-0.08206,-0.037705,0.090279,0.49021,-0.38065,0.0084322,-0.024212,0.014197,-0.0029173,0.15721,-0.16169,-0.1436,30,30,12554,10,1011.1
31.38,0.0013252,0.021073,12558,0.027856,1.2671,0.010977,0.019198,1.2007,-0.27709,2.3009,1,2,0.30734,98.4,0.6,0,0,-0.25349,0.011254,0.039101,1.0962,-0.60281,-0.026875,-0.31415,-0.069619,0.037957,0.70706,-0.48697,-0.031237,-6.5464,0.97573,0.292,7.4444,-6.0566,-2.022,2.1026,-2.1219,2.1487,-1.5217,-4.4719,-2.5409,-6.9217,1.5807,-1.9945,-5.6615,0.62289,2.0922,-0.20945,-16.692,18.327,-19.329,-9.5106,-8.11,-0.1295,-0.012236,0.071806,0.49337,-0.32147,-0.025038,-0.087044,-0.057288,-0.06252,0.13607,-0.13352,-0.15321,30,30,12563,10,1011.1
31.389,0.0014647,0.0091718,12565,0.0095348,1.6104,0.022104,0.017364,1.5242,-0.45639,1.1057,1,2,0.35052,98.389,0.6,0,0,-0.32368,0.023079,0.048257,1.1778,-0.67421,0.020215,-0.28706,-0.073053,0.035286,0.70363,-0.52646,-0.13395,-5.1371,0.67144,0.54463,5.6341,-4.8509,3.422,1.9913,-0.37874,0.33473,-0.27157,-2.6545,-7.1268,6.6629,2.2265,-4.1967,-9.3105,1.7714,0.87695,-8.3448,-17.914,10.33,-19.329,-4.7774,-3.1701,-0.19494,-0.10065,0.13279,0.58913,-0.3544,0.030368,-0.02322,-0.0078407,-0.025813,0.097051,-0.10205,-0.024939,30,30,12567,10,1011.1
31.403,0.0014083,0.0042874,12573,0.013964,2.7717,0.047853,0.0070949,1.4241,-0.55277,0.042931,1,2,0.38816,98.412,0.6,0,0,-0.37976,0.021553,0.047875,1.2304,-0.72777,0.12504,-0.26074,-0.1009,0.078393,0.69944,-0.55289,-0.19734,-2.6966,-0.25189,-0.036981,1.8691,-2.183,3.8358,1.3779,-1.6876,2.1865,-0.29092,-1.0797,-1.8147,11.709,4.4505,-1.8495,-13.13,0.90794,-2.5863,-8.0861,-5.2453,0.40256,-15.168,-0.95333,-0.24617,-0.17495,-0.079847,0.18065,0.49987,-0.33408,0.041138,-0.032528,0.028321,-0.047844,0.13771,-0.18049,-0.12119,30,30,12574,10,1011.1
31.44,0.0014308,0.021004,12579,0.036447,5.9721,0.10351,-0.012311,1.6243,-0.67303,-1.0816,1,2,0.42755,98.415,0.6,0,0,-0.39578,0.024224,0.050164,1.2076,-0.75987,0.049354,-0.22221,-0.11997,0.095941,0.68914,-0.55237,-0.1535,-0.72707,0.34326,0.16688,-1.6598,-2.0175,-5.7477,2.4302,-1.1584,0.98935,-0.69006,0.080745,2.7899,7.6979,3.5348,0.54059,-17.496,0.047189,-1.252,-6.7923,1.8526,-3.0582,-8.7741,1.0125,-0.065255,-0.23867,-0.13846,0.23138,0.56455,-0.33285,-0.0028109,0.03017,0.035287,0.033263,0.082782,0.05862,0.08589,31,31,12586,10,1011.1
31.46,0.001546,0.019314,12588,0.019745,7.1607,0.12387,-0.016643,1.4882,-0.58953,-1.3148,1,2,0.47073,98.42,0.6,0,0,-0.35344,0.042916,0.060845,1.0801,-0.75754,-0.065475,-0.16308,-0.136,0.092126,0.64984,-0.50058,-0.12732,1.8337,0.87688,0.18577,-5.6809,1.1061,0.49734,2.2392,-0.79708,-0.10224,-1.5261,2.6285,-0.65868,3.1418,-7.4695,4.322,-4.1143,4.2345,3.144,-10.415,14.347,-9.6136,-7.1385,0.86778,-0.4275,-0.18021,-0.22903,0.34242,0.43526,-0.3002,-0.032429,0.10915,0.23187,0.026036,0.029212,0.2001,0.28553,31,31,12593,10,1011.1
31.471,0.0012839,0.010945,12595,0.01129,7.3253,0.12678,-0.016545,0.90132,-0.3024,-0.63294,1,2,0.50952,98.415,0.6,0,0,-0.32597,0.05436,0.056268,0.97181,-0.702,0.11804,-0.1318,-0.15812,0.092889,0.63954,-0.45698,-0.16173,1.5551,0.727,-0.24299,-6.74,3.9555,9.8286,1.8978,-1.6023,-0.064593,-0.60502,2.457,-1.7861,-0.48872,-7.5807,2.9615,4.3253,2.1916,-3.0376,-13.002,15.24,-11.811,-9.004,3.2129,-0.4249,-0.098436,-0.15274,0.2895,0.33614,-0.1869,-0.013969,0.1104,0.11914,-0.03757,0.17499,0.31635,0.21023,31,31,12597,10,1011.1
31.49,0.0015699,0.010938,12602,0.019247,6.9975,0.12207,-0.0036462,-0.18406,0.53415,-0.10847,1,2,0.54864,98.421,0.6,0,0,-0.33436,0.066186,0.050927,0.84974,-0.62835,0.10326,-0.12379,-0.17834,0.057794,0.6323,-0.455,-0.044974,-0.76577,0.5682,-0.058911,-4.7736,2.9432,-4.4025,0.14743,-0.61197,-1.7674,-0.31496,0.13757,6.8978,-1.8851,-15.279,9.0831,9.2339,0.20925,-3.4026,-9.3799,17.756,-6.678,-9.4638,3.1178,-1.692,-0.021907,-0.048498,0.10266,0.14213,-0.25528,0.039967,0.017933,-0.069921,-0.074656,0.31634,0.39495,0.25039,33,33,12603,10,1011.1
