t_s,low_state_age_s,tick_dt_s,tilt_deg,roll,pitch,gx,gy,gz,walking,gait_freq,gait_process,goal_x,goal_y,heading_err,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10,tau11,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11
16.841,0.0051617,0.043908,7.66,-0.11869,0.061678,-0.47387,-0.74995,-1.3757,1,2,0.836,1,0,0,-0.13333,-0.012398,-0.082589,0.64221,-0.55429,0.050713,-0.43355,0.023461,-0.05169,1.0805,-0.71351,0.11843,2.5175,0.073873,-1.1154,-0.29151,-0.72985,-1.5775,-3.0516,1.1896,-0.84713,2.0891,-1.2354,6.8394,3.7003,14.619,-4.4222,0.90161,2.984,-0.33362,-3.5607,-7.0247,4.2719,-11.533,-0.23943,0.032298,0.18045,0.043662,-0.088642,0.072617,0.033617,-0.11575,-0.35664,0.069955,-0.08973,0.58231,-0.29871,0.10751
16.868,0.0011917,0.027125,7.5556,-0.12335,0.046754,-0.25306,-0.79163,-0.43952,1,2,0.88,1,0,0,-0.070382,-0.0028611,-0.11082,0.65671,-0.57811,0.085085,-0.49802,0.037194,-0.068475,1.0302,-0.68307,0.0016969,1.4311,0.10598,-0.4834,0.6316,-0.74426,0.44651,-1.3863,0.029677,-0.26506,-2.6677,1.9014,-9.7553,-1.6058,12.881,-2.5022,-1.5415,4.5847,-1.7375,-1.8851,-6.1721,3.1791,-2.3558,-1.5902,1.3264,0.13745,-0.052911,-0.050429,0.0076349,-0.047567,-0.074813,-0.28782,0.15138,-0.14481,0.52078,-0.26283,0.03457
16.893,0.00094756,0.024866,7.4208,-0.12727,0.02409,-0.15226,-0.75259,0.11097,1,2,0.916,1,0,0,-0.047494,-0.0062943,-0.10624,0.66701,-0.59536,0.052112,-0.51823,0.026894,-0.063134,0.95731,-0.64666,0.024927,1.0523,-0.12583,0.3749,0.38146,-0.72912,-1.3909,-0.85697,-0.61956,0.37323,-3.2859,1.5627,5.8087,-0.90762,8.5374,-1.4377,-6.5758,10.996,-2.3991,-1.1869,-1.6826,0.74762,4.8879,-0.51427,2.5055,0.11407,-0.04839,-0.07881,-0.072891,-0.17693,-0.20681,-0.27095,0.17016,-0.13646,0.42229,-0.26935,0.048188
16.916,0.00095815,0.023798,6.3978,-0.11149,0.0061641,0.56976,-0.66561,0.43064,1,2,0.956,1,0,0,0.013924,-0.012398,-0.069238,0.66167,-0.59938,0.048024,-0.56172,-0.011254,-0.057794,0.89818,-0.55731,0.075468,1.5683,-0.19154,0.87068,-0.42895,0.17813,-0.71303,-1.1733,-0.70761,-0.16521,0.046612,2.3117,-12.361,-6.7923,6.7281,-1.8978,-10.383,15.324,-4.4757,1.8851,3.9377,-0.35656,4.4659,-3.129,-1.4502,0.17336,-0.022087,0.023322,0.01501,-0.040098,-0.19617,-0.27557,0.062206,-0.085219,0.30569,-0.29254,-0.0034114
16.94,0.0009256,0.023362,5.1322,-0.089502,-0.0035755,0.71657,-0.36455,0.2348,1,2,8.8818e-16,1,0,0,0.056268,-0.016213,-0.060845,0.63611,-0.58263,-0.0079507,-0.57736,-0.011254,-0.066567,0.93862,-0.49609,-0.065797,1.4635,-0.059916,0.15841,-1.0408,0.49094,-0.84322,-0.41115,0.19302,-0.091933,1.5425,1.5329,3.8409,-11.191,4.4139,-0.97766,-12.738,16.348,-4.2033,4.1192,7.21,-2.8407,2.1232,-2.1704,5.4895,0.16744,-0.038744,0.033497,0.292,-0.032177,-0.14451,-0.22445,-0.070446,0.10554,0.17947,-0.41436,-0.055534
16.96,0.00085222,0.020711,4.5767,-0.079853,0.0019965,0.51571,0.075827,0.71484,1,2,0.04,1,0,0,0.084497,-0.01812,-0.061227,0.60521,-0.55972,-0.023722,-0.57736,0.0017166,-0.072671,0.95541,-0.46158,0.2594,1.1848,-0.091038,0.0052598,-1.5025,1.2243,-0.91129,0.15184,0.84699,-0.39732,0.47397,2.584,13.487,-14.617,-0.59487,-0.034505,-13.679,12.61,-3.9833,5.7948,9.2473,-3.896,-0.49443,-2.4809,-5.9278,0.060258,0.016299,0.011823,0.56778,-0.51541,-0.046533,-0.17286,-0.35619,0.2888,0.24167,-0.40976,0.1105
16.988,0.00094164,0.027608,4.1225,-0.064466,0.031978,0.45716,0.7387,1.1965,1,2,0.076,1,0,0,0.098611,-0.015831,-0.061227,0.55943,-0.55033,-0.0897,-0.56096,0.043297,-0.095941,0.93099,-0.48997,0.059699,0.3546,0.21077,-0.04311,-1.9933,0.089365,-3.8111,0.79778,1.9598,-1.1329,-1.4294,-0.9342,-15.198,-14.073,-2.8022,-0.10352,-14.776,10.37,-4.4939,5.5155,3.9744,-1.5297,-2.8793,-0.86021,-1.6493,-0.0063866,0.06457,0.014104,0.61786,-0.54971,0.020975,-0.034477,-0.15694,0.30067,0.21591,-0.38094,-0.13528
17.005,0.0040527,0.016852,4.4651,-0.049151,0.060501,0.78153,1.5929,1.6517,1,2,0.116,1,0,0,0.094415,-0.0028611,-0.05169,0.51556,-0.54557,-0.1792,-0.54952,0.082589,-0.10586,0.87224,-0.47308,-0.25391,-0.31851,0.74534,0.68091,-1.9764,0.51193,-3.1482,0.2135,1.5845,-0.068682,-2.5493,1.8787,-8.3712,-11.45,-7.4325,1.8495,-4.4659,10.385,-1.1081,8.6036,-2.6923,0.42557,-13.522,-6.1677,8.2351,-0.076825,0.075826,-0.011066,0.59934,-0.52874,0.012872,0.076108,-0.070382,0.27512,0.20528,-0.36721,-0.13251
17.03,0.00095952,0.025515,6.5437,-0.02929,0.1104,0.49595,1.7312,2.6667,1,2,0.16,1,0,0,0.069238,0.021553,-0.02575,0.49268,-0.50323,-0.14698,-0.54456,0.081827,-0.039864,0.82876,-0.45662,0.0021905,-1.5938,0.65694,1.4165,-0.66666,2.3875,1.4319,0.48389,-0.66133,3.3621,-2.2844,1.5201,15.503,-7.4392,-5.0971,1.6802,9.4638,3.2627,0.36599,8.733,-9.5835,3.1549,-9.4638,-6.7815,2.2196,-0.17164,0.10146,0.024811,0.73776,-0.60831,-0.040496,0.043909,-0.27981,0.32647,0.27588,-0.28478,-0.20279
17.053,0.00088752,0.022726,8.2878,-0.0038423,0.1446,0.60356,1.4029,3.6021,1,2,0.2,1,0,0,-0.010872,0.024605,-0.0020981,0.56783,-0.45846,-0.04391,-0.51404,0.036431,0.011635,0.7929,-0.42405,0.20157,-3.5327,-0.13133,0.75952,4.2112,0.63843,4.5965,1.3605,-1.4327,0.82177,-0.63369,0.23007,0.16452,-4.2588,-0.11897,-0.28755,14.933,-5.6192,-0.58604,9.2505,-25.331,20.328,-12.973,-7.8687,-4.5788,-0.29154,0.085552,0.050165,0.70786,-0.55134,-0.040904,0.12449,-0.18572,0.27868,0.31475,-0.14406,-0.19152
17.077,0.00095626,0.024172,8.8912,0.041247,0.14964,0.87107,0.71342,3.5824,1,2,0.24,1,0,0,-0.095941,0.0017166,0.015068,0.70554,-0.51396,0.032104,-0.4736,0.0089647,0.039864,0.76658,-0.47911,-0.074935,-4.6055,-1.3251,0.87747,7.254,-3.3868,3.445,2.4777,-0.9976,1.8205,-1.6819,-1.8854,-15.266,-1.4662,6.8393,-1.4147,4.8176,-5.35,-1.3036,8.2155,-16.849,13.116,-6.2242,-2.8332,-0.39072,-0.30381,0.066967,0.068361,0.6609,-0.43907,-0.0033354,0.14557,-0.11487,0.18037,0.27348,-0.029586,-0.29645
17.103,0.004342,0.025785,8.5623,0.070598,0.13182,1.3272,-0.40616,3.9025,1,2,0.276,1,0,0,-0.1833,-0.014305,0.027657,0.89971,-0.65165,-0.020542,-0.36488,0.0040055,0.09556,0.70516,-0.52875,-0.18328,-3.1013,-0.33449,0.32453,7.8988,-5.8809,-4.396,4.2603,0.76999,0.64442,-2.2483,-2.0879,4.2959,-3.5607,8.0516,-2.6956,-1.716,-0.58878,-0.41221,9.6386,-17.598,17.791,-7.8546,-4.1782,1.655,-0.35253,0.026953,0.046552,0.72309,-0.44498,0.012734,0.24775,-0.026864,0.2223,0.30659,0.22441,0.17519
17.124,0.00088973,0.021098,7.8442,0.096824,0.096944,0.83257,-1.2918,3.9679,1,2,0.32,1,0,0,-0.2409,-0.012779,0.030709,1.0645,-0.76985,-0.089814,-0.26188,0.0085832,0.16346,0.66663,-0.5424,0.052448,-2.3114,0.11688,0.21274,6.5586,-4.3298,-0.39024,4.327,-0.45975,3.6072,-1.4049,0.26625,4.5186,-6.2137,8.5747,-1.8011,-5.8022,-0.41817,2.1454,3.5607,-19.771,7.3593,-0.95978,-1.0911,-8.3439,-0.31483,-0.023768,0.13242,0.66172,-0.44821,-0.035496,0.18915,-0.0037096,0.13744,0.23201,0.2295,0.045011
17.15,0.00086182,0.025397,9.0373,0.14602,0.059852,1.4808,-0.8379,4.0448,1,2,0.36,1,0,0,-0.31338,-0.0032425,0.05169,1.1885,-0.79821,0.08846,-0.14439,-0.014687,0.2142,0.66396,-0.47837,-0.31081,-2.9591,0.51493,0.88274,3.9449,-0.18991,4.3829,4.406,-1.1655,1.7992,0.054345,4.3019,-14.277,-6.0741,6.3204,-2.5264,-11.456,-0.70479,-3.6913,-1.3265,-12.141,1.656,1.5996,1.9443,2.846,-0.303,-0.087515,0.24754,0.66695,-0.32986,-0.036594,0.17765,0.22129,0.14555,0.11398,0.38344,-0.069751
17.168,0.0009681,0.018866,10.583,0.17933,0.04453,1.8672,-0.4799,3.6047,1,2,0.396,1,0,0,-0.38205,0.019265,0.068475,1.2255,-0.79282,-0.064831,-0.093652,-0.047494,0.22755,0.66587,-0.44476,-0.38749,-3.3107,1.2621,0.73863,1.3508,0.97374,-9.4057,2.0575,-1.3109,0.22646,0.011872,0.13463,0.59711,-4.957,1.9206,-1.3687,-11.303,0.34623,0.040483,1.3265,-9.0231,0.74762,1.367,7.616,3.231,-0.28483,-0.10372,0.28886,0.69256,-0.38325,-0.095863,0.14093,0.35689,0.17541,0.0048805,0.37212,0.16631
17.199,0.0048527,0.030105,12.74,0.22111,0.023695,1.4294,-0.12546,3.3065,1,2,0.436,1,0,0,-0.44728,0.04139,0.077249,1.206,-0.7323,-0.046077,-0.064279,-0.060845,0.21305,0.67311,-0.46153,-0.0062472,-3.0451,0.65787,0.41743,-1.2945,3.1055,6.2885,1.5993,-0.74807,-0.38581,0.45834,2.4814,20.64,-1.8851,-0.69685,-1.2767,-5.0989,-0.48704,3.6248,3.2814,0.66286,0.057509,0.49443,12.13,2.1012,-0.33435,-0.26592,0.42654,0.57349,-0.32093,-0.032499,0.16139,0.48001,0.12507,0.062552,0.77445,0.53941
17.224,0.0057951,0.025729,13.111,0.22882,0.0020263,0.57969,-0.4401,3.6041,1,2,0.476,1,0,0,-0.49306,0.04406,0.075341,1.1469,-0.65129,0.17996,-0.030709,-0.057031,0.19017,0.70668,-0.4794,0.0055905,-1.6779,0.074554,-0.081203,-2.9776,3.3403,5.2962,1.6506,0.43252,-1.0898,1.6176,-1.1354,-4.9024,2.1643,-3.9011,2.6231,-1.1343,-2.9771,-6.5676,-2.1643,0.62886,-1.4607,-5.1692,17.394,0.7401,-0.20911,-0.18659,0.3864,0.44839,-0.19671,0.048973,0.072173,0.46795,0.070887,0.21722,0.6455,0.43399
17.245,0.00091831,0.021023,13.074,0.2259,-0.03254,-0.22411,-0.41615,3.0309,1,2,0.516,1,0,0,-0.53197,0.047494,0.086023,1.0649,-0.62013,-0.16291,0.015831,-0.017357,0.17605,0.71775,-0.38346,-0.12114,-1.6038,0.25529,0.69345,-3.3584,3.3283,-18.206,1.8201,2.3177,-0.50713,0.048411,4.5087,-3.7254,4.8174,-11.439,9.4279,5.6615,-0.69185,1.0578,-6.9119,9.3593,-1.0237,-14.463,23.644,6.4576,-0.20701,0.066857,0.14272,0.40619,-0.31021,-0.1048,0.014135,0.28308,0.10052,0.17593,0.73327,0.58218
17.286,0.0019805,0.040255,11.89,0.20175,-0.048902,-1.2071,-0.11959,2.6245,1,2,0.56,1,0,0,-0.56058,0.045586,0.17147,0.98058,-0.58615,0.049042,0.086404,0.077249,0.16384,0.68265,-0.31456,-0.0013439,-0.83049,-0.40837,2.8126,-1.8829,1.861,19.293,2.1895,2.4689,-0.070037,-1.4329,2.899,7.536,7.3098,-16.613,8.1815,8.391,-1.8488,-1.1614,-15.161,18.741,0.51758,-18.851,22.021,9.4805,-0.11606,0.15356,0.042253,0.17678,-0.26215,0.11735,0.019114,0.10348,0.037549,0.46946,0.24151,0.33507
17.323,0.0008841,0.037727,8.0261,0.13146,-0.048534,-2.2766,0.51548,3.0009,1,2,0.6,1,0,0,-0.57927,0.018883,0.24891,0.94892,-0.56046,0.19948,0.12455,0.16575,0.16079,0.63802,-0.25223,0.20217,-0.67332,-1.2206,3.1911,-1.234,0.27754,-2.0087,1.3007,3.7235,-0.15868,-1.9111,3.1045,8.5599,8.3448,-19.182,7.7837,4.6769,3.4834,-10.362,-17.2,13.532,-2.3088,-10.153,22.946,6.5396,-0.04961,0.32998,-0.065436,0.14793,-0.12154,-0.15098,0.024311,-0.060971,0.1832,0.56717,-0.3643,-0.0048818
