pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.0958,9.4397,0.0284,lateral,0.5661,5.8000,0.0783,-0.0882,0.0373
0.0680,4.5443,0.0406,straight,0.0867,5.8200,0.0370,0.0583,0.0350
0.0409,2.1136,0.0250,combined,0.5592,5.8400,0.0240,0.0155,0.0379
0.0277,5.7892,0.0447,lateral,0.8427,5.8400,0.0236,-0.0139,0.0240
0.0740,11.5514,0.0269,combined,0.7928,5.8000,0.0692,-0.0677,0.0300
0.0268,10.5355,0.0105,combined,1.7698,5.8600,0.0221,-0.0266,0.0033
0.0380,10.4392,0.0306,combined,1.4622,5.8800,0.0153,0.0050,0.0377
0.0477,0.7432,0.0361,straight,0.0663,5.9000,0.0445,-0.0452,0.0151
0.0301,5.6578,0.0653,straight,0.9544,5.9000,0.0140,0.0088,0.0288
0.0597,11.9977,0.0221,combined,1.4585,5.9200,0.0260,0.0433,0.0410
0.0491,6.6919,0.0320,turn,0.0000,5.9200,0.0000,nan,nan
0.0521,13.4795,0.0212,straight,1.4151,5.9200,0.0234,0.0416,0.0314
0.0638,10.5749,0.0512,turn,0.0000,5.9400,0.0000,nan,nan
0.0415,8.3119,0.0631,lateral,1.1082,5.9600,0.0301,-0.0263,0.0321
0.0363,9.3791,0.0309,turn,0.0000,5.9600,0.0000,nan,nan
0.0256,1.1333,0.0283,lateral,1.0306,5.9800,0.0240,0.0255,0.0014
0.0208,6.7224,0.0377,turn,0.0000,6.0200,0.0000,nan,nan
0.0412,4.6065,0.0079,straight,0.1738,6.0200,0.0412,-0.0159,0.0380
0.0566,11.1608,0.0217,combined,1.4341,6.0000,0.0405,0.0240,0.0513
0.0210,7.5119,0.0628,turn,0.0000,6.0000,0.0000,nan,nan
0.0528,6.8360,0.0715,lateral,1.0605,6.0200,0.0278,0.0465,0.0250
0.0380,11.6713,0.0016,lateral,0.8624,6.0200,0.0266,0.0354,0.0139
0.0269,10.6264,0.0212,turn,0.0000,6.0600,0.0000,nan,nan
0.0365,9.5486,0.0365,lateral,0.5080,6.0600,0.0302,-0.0233,0.0281
0.0225,4.3589,0.0578,stand,0.0000,6.0400,0.0000,nan,nan
0.0457,9.0289,0.0449,lateral,1.2391,6.1000,0.0355,-0.0457,0.0026
0.0631,8.7150,0.0207,straight,0.3250,6.1000,0.0258,0.0462,0.0430
0.0397,11.9668,0.0240,combined,1.8306,6.1000,0.0163,0.0230,0.0324
0.0347,5.2318,0.0232,straight,1.9984,6.1000,0.0022,0.0327,0.0115
0.0452,9.8410,0.0565,combined,0.5448,6.1000,0.0225,-0.0117,0.0436
0.0901,9.4502,0.0066,combined,0.3153,6.1000,0.0843,-0.0810,0.0393
0.0636,1.6020,0.0572,turn,0.0000,6.1200,0.0000,nan,nan
0.0072,14.1449,0.0538,turn,0.0000,6.1200,0.0000,nan,nan
0.0306,11.5334,0.0104,turn,0.0000,6.1400,0.0000,nan,nan
0.0503,5.3565,0.0338,turn,0.0000,6.1400,0.0000,nan,nan
0.0479,11.3926,0.0045,combined,0.5441,6.1400,0.0138,0.0478,0.0037
0.0361,5.6502,0.0392,turn,0.0000,6.2200,0.0000,nan,nan
0.0623,4.6366,0.0292,combined,1.4166,6.2200,0.0110,0.0565,0.0264
0.0218,0.1849,0.0746,lateral,0.5503,6.2600,0.0083,0.0050,0.0213
0.0221,6.2993,0.0078,lateral,0.1730,6.3000,0.0009,0.0028,0.0219
0.0131,10.0014,0.0231,lateral,1.3728,6.3000,0.0004,0.0112,0.0068
0.0226,10.4340,0.0231,combined,1.4206,6.3400,0.0112,0.0177,0.0140
0.0311,7.9549,0.0042,combined,0.7385,6.3600,0.0300,-0.0280,0.0135
0.0288,3.9812,0.0241,straight,0.8642,6.3800,0.0274,-0.0286,0.0031
0.0653,9.1742,0.0050,stand,0.0000,6.4000,0.0000,nan,nan
0.0361,7.2804,0.0316,straight,0.8589,6.4200,0.0058,0.0168,0.0319
0.0237,13.0641,0.0259,lateral,0.0215,6.4200,0.0215,-0.0197,0.0131
0.0220,2.7204,0.0573,stand,0.0000,6.4200,0.0000,nan,nan
0.0324,3.6325,0.0637,stand,0.0000,6.4400,0.0000,nan,nan
0.0433,8.7677,0.0083,combined,2.4174,6.5200,0.0394,-0.0431,0.0034
0.0369,5.8319,0.0875,turn,0.0000,6.5400,0.0000,nan,nan
0.0321,3.2565,0.0235,stand,0.0000,6.5400,0.0000,nan,nan
0.0509,10.6748,0.0197,turn,0.0000,6.5000,0.0000,nan,nan
0.0095,2.5215,0.0515,combined,1.8695,6.5600,0.0095,-0.0095,0.0000
0.0316,7.1949,0.0113,combined,1.9744,6.5600,0.0257,-0.0179,0.0261
0.0162,9.0685,0.0439,combined,2.2227,6.5800,0.0109,-0.0108,0.0120
0.0499,9.6738,0.0293,lateral,0.6951,6.6000,0.0475,-0.0498,0.0035
0.0217,14.0809,0.0647,combined,1.3435,6.6000,0.0080,-0.0080,0.0202
0.0301,9.9292,0.0470,straight,0.6590,6.6200,0.0133,-0.0301,0.0005
0.0088,5.3847,0.0161,combined,1.4740,6.6400,0.0082,-0.0054,0.0070
0.0473,11.4908,0.0228,lateral,0.0159,6.6600,0.0134,-0.0305,0.0361
0.0515,7.2479,0.0426,straight,0.3055,6.6800,0.0339,-0.0327,0.0397
0.0212,7.6472,0.0210,turn,0.0000,6.5400,0.0000,nan,nan
0.0351,8.0734,0.0191,lateral,0.8684,6.7400,0.0167,-0.0175,0.0305
0.0384,13.8332,0.0130,lateral,0.2424,6.7400,0.0106,-0.0349,0.0160
0.0353,4.6484,0.0283,combined,0.7989,6.7600,0.0124,0.0348,0.0058
0.0260,2.5453,0.0236,turn,0.0000,6.7800,0.0000,nan,nan
0.0507,5.8942,0.0274,lateral,1.1270,6.8000,0.0496,0.0057,0.0503
0.0403,7.1500,0.0255,lateral,0.0398,6.6200,0.0336,-0.0311,0.0257
0.0754,3.7369,0.0392,stand,0.0000,6.8000,0.0000,nan,nan
0.0315,5.8589,0.0284,lateral,1.4576,6.8200,0.0315,-0.0315,0.0016
0.0367,3.6269,0.0403,straight,0.3782,6.8200,0.0345,-0.0227,0.0289
0.0107,3.6158,0.0357,combined,1.2576,6.8400,0.0021,-0.0008,0.0107
0.0668,11.5251,0.0319,combined,1.0371,6.6200,0.0014,-0.0490,0.0454
0.0159,6.5602,0.0365,straight,1.4414,6.8600,0.0073,-0.0157,0.0023
0.0618,4.0405,0.0025,stand,0.0000,6.8600,0.0000,nan,nan
0.0188,3.7008,0.0426,straight,0.3712,6.8600,0.0070,-0.0182,0.0045
0.0213,9.7361,0.0130,straight,0.6483,6.5200,0.0056,0.0211,0.0030
0.0356,6.9388,0.0164,turn,0.0000,6.9000,0.0000,nan,nan
0.0603,6.1828,0.0422,turn,0.0000,6.9000,0.0000,nan,nan
0.0792,5.9967,0.0503,stand,0.0000,6.9000,0.0000,nan,nan
0.0689,10.7490,0.0196,combined,0.5189,6.9000,0.0619,0.0225,0.0651
0.0492,6.9941,0.0761,straight,1.0249,6.9400,0.0454,-0.0314,0.0379
0.0359,6.0957,0.0204,turn,0.0000,6.9600,0.0000,nan,nan
0.0247,8.4203,0.0038,straight,1.8244,6.9800,0.0068,0.0069,0.0238
0.0501,4.1618,0.0522,straight,0.3896,6.9800,0.0368,-0.0391,0.0313
0.0193,11.1628,0.0223,combined,2.3123,6.9600,0.0180,-0.0119,0.0152
0.0399,12.0064,0.0352,turn,0.0000,6.9600,0.0000,nan,nan
0.0261,12.9304,0.0193,turn,0.0000,7.0200,0.0000,nan,nan
0.0407,1.0580,0.0321,combined,0.5910,7.0200,0.0206,0.0138,0.0383
0.0503,8.8469,0.0371,turn,0.0000,7.0400,0.0000,nan,nan
0.0340,10.0191,0.0281,lateral,0.0141,7.0200,0.0039,0.0229,0.0251
0.0207,6.3778,0.0409,straight,0.4493,7.0600,0.0002,0.0072,0.0194
0.0725,7.7215,0.0374,combined,1.1445,7.1000,0.0626,0.0174,0.0704
0.0567,9.0054,0.0303,straight,1.4458,7.1000,0.0405,0.0240,0.0514
0.0307,8.4084,0.0436,straight,1.6518,7.1200,0.0075,-0.0295,0.0083
0.0386,14.5162,0.0194,turn,0.0000,7.1200,0.0000,nan,nan
0.0568,3.7727,0.0465,stand,0.0000,7.1600,0.0000,nan,nan
0.0414,9.5567,0.0305,turn,0.0000,7.1600,0.0000,nan,nan
0.0401,7.5321,0.0655,combined,0.2478,7.1600,0.0162,-0.0227,0.0331
0.0537,7.8902,0.0411,combined,1.5748,7.2000,0.0452,0.0032,0.0536
0.0798,7.7666,0.0271,combined,0.6406,7.2200,0.0614,-0.0382,0.0701
0.0470,0.4372,0.0735,combined,1.9684,7.2200,0.0159,0.0464,0.0076
0.0234,10.3979,0.0521,straight,1.4075,7.2400,0.0191,0.0127,0.0197
0.0364,10.8495,0.0311,turn,0.0000,7.2400,0.0000,nan,nan
0.0635,13.2111,0.0450,combined,1.3707,7.2400,0.0451,0.0094,0.0628
0.0336,11.5789,0.0424,lateral,0.7669,7.2400,0.0313,-0.0215,0.0259
0.0432,5.1557,0.0291,lateral,0.8396,7.3200,0.0078,0.0426,0.0071
0.0307,11.0776,0.0366,straight,1.3331,7.3400,0.0039,0.0016,0.0307
0.0478,13.3534,0.0605,turn,0.0000,7.3600,0.0000,nan,nan
0.0491,8.4432,0.0497,combined,2.2542,7.3800,0.0442,-0.0234,0.0432
0.0971,15.5203,0.0292,stand,0.0000,7.4200,0.0000,nan,nan
0.0380,20.6310,0.0141,stand,0.0000,7.4200,0.0000,nan,nan
0.0424,10.4566,0.0928,combined,1.9067,7.4200,0.0212,0.0193,0.0378
0.0228,3.4576,0.0536,lateral,0.1622,7.2400,0.0117,-0.0132,0.0186
0.0404,5.4659,0.0027,turn,0.0000,7.4400,0.0000,nan,nan
0.0346,2.6903,0.0545,combined,0.5045,7.4400,0.0346,0.0246,0.0244
0.0211,5.9030,0.0061,turn,0.0000,7.4400,0.0000,nan,nan
0.0249,7.0200,0.0360,straight,1.4742,7.4600,0.0035,0.0233,0.0087
0.0165,3.8162,0.0136,straight,0.1789,7.4600,0.0165,0.0164,0.0013
0.0641,0.7510,0.0484,combined,1.7037,7.4600,0.0547,-0.0641,0.0002
0.0118,4.6980,0.0429,turn,0.0000,7.4600,0.0000,nan,nan
0.0476,7.7483,0.0353,combined,0.4917,7.4800,0.0321,0.0142,0.0454
0.0740,7.4344,0.0489,lateral,1.2405,6.7800,0.0607,-0.0693,0.0261
0.0745,3.0052,0.0253,turn,0.0000,7.5400,0.0000,nan,nan
0.0416,12.7410,0.0118,turn,0.0000,7.5400,0.0000,nan,nan
0.0305,4.1541,0.0359,stand,0.0000,7.5600,0.0000,nan,nan
0.0131,11.1958,0.0420,turn,0.0000,7.5600,0.0000,nan,nan
0.0391,6.6406,0.0547,straight,1.8612,7.5800,0.0358,-0.0350,0.0174
0.0577,9.9120,0.0297,straight,1.5194,7.6000,0.0313,-0.0340,0.0466
0.0461,7.7527,0.0290,straight,1.8310,7.7400,0.0342,-0.0390,0.0246
0.0329,7.0336,0.0349,stand,0.0000,7.7400,0.0000,nan,nan
0.0130,9.9563,0.0926,lateral,1.4896,7.7400,0.0016,0.0057,0.0117
0.0269,11.8183,0.0325,stand,0.0000,7.7800,0.0000,nan,nan
0.0602,12.0566,0.0197,lateral,0.7466,7.8200,0.0573,-0.0231,0.0556
0.0488,5.2928,0.0941,lateral,0.3270,7.8200,0.0434,-0.0488,0.0028
0.0480,13.5790,0.0178,combined,1.3797,7.8400,0.0444,-0.0239,0.0417
0.0646,0.0279,0.0111,straight,1.1149,7.8800,0.0366,0.0244,0.0598
0.0266,4.4567,0.0297,turn,0.0000,7.9000,0.0000,nan,nan
0.0669,11.3631,0.0178,combined,0.6161,7.9000,0.0402,-0.0142,0.0653
0.0429,2.0729,0.0336,turn,0.0000,7.9400,0.0000,nan,nan
0.0612,5.2391,0.0060,combined,1.1866,7.9600,0.0532,-0.0531,0.0303
0.0421,4.3651,0.0550,lateral,0.1765,7.9600,0.0195,0.0420,0.0028
0.0478,9.6999,0.0206,straight,0.0252,7.9600,0.0058,-0.0242,0.0412
0.0138,1.0319,0.0242,combined,1.7762,7.9600,0.0112,0.0055,0.0126
0.0426,7.2813,0.0515,lateral,0.4218,7.9800,0.0415,-0.0126,0.0407
0.0805,6.3707,0.0480,straight,1.2559,7.4800,0.0092,0.0536,0.0601
0.0342,11.0878,0.0417,straight,1.2519,4.2000,0.0304,0.0032,0.0341
0.1060,9.3712,0.0806,combined,2.0545,4.2800,0.1060,-0.0998,0.0358
0.0386,4.3311,0.0599,combined,1.1954,7.7800,0.0321,0.0380,0.0070
0.0245,4.7098,0.0413,lateral,1.2847,4.2200,0.0245,0.0211,0.0126
0.0782,13.2205,0.0598,combined,1.6262,4.0800,0.0781,-0.0767,0.0150
0.0694,9.9412,0.0695,combined,1.4337,4.0200,0.0694,-0.0610,0.0333
0.0433,12.8674,0.0880,combined,1.2172,4.5200,0.0317,0.0239,0.0361
0.0214,6.3908,0.0265,combined,1.1488,4.2400,0.0062,0.0001,0.0214
0.1017,12.5562,0.0707,combined,1.7659,4.1800,0.1017,-0.0898,0.0478
0.0078,7.4180,0.0295,turn,0.0000,4.1000,0.0000,nan,nan
0.0611,9.8907,0.0335,lateral,0.9922,4.6400,0.0454,0.0212,0.0573
0.0441,9.0814,0.0156,turn,0.0000,4.3200,0.0000,nan,nan
0.0524,7.4283,0.0209,turn,0.0000,4.5200,0.0000,nan,nan
0.0350,10.1267,0.0420,turn,0.0000,4.0000,0.0000,nan,nan
0.0111,2.4012,0.0188,stand,0.0000,4.9400,0.0000,nan,nan
0.0367,1.5418,0.0197,stand,0.0000,4.2800,0.0000,nan,nan
0.0214,1.5070,0.0213,stand,0.0000,5.0600,0.0000,nan,nan
0.0168,6.0622,0.0448,turn,0.0000,4.9600,0.0000,nan,nan
0.0821,11.6880,0.0320,turn,0.0000,4.3000,0.0000,nan,nan
0.0160,8.2730,0.0161,straight,0.4167,4.6000,0.0091,0.0155,0.0040
0.0198,12.3282,0.0431,turn,0.0000,4.0000,0.0000,nan,nan
0.0561,12.5753,0.0642,lateral,1.1018,4.0800,0.0561,-0.0557,0.0071
0.0047,1.4069,0.0209,stand,0.0000,4.4400,0.0000,nan,nan
0.0334,8.2018,0.0155,lateral,0.4471,4.7200,0.0250,-0.0118,0.0312
0.0711,5.7329,0.0119,turn,0.0000,5.0200,0.0000,nan,nan
0.0706,0.0765,0.0248,straight,1.3838,4.2400,0.0706,-0.0531,0.0464
0.0243,6.9687,0.0462,combined,1.8689,5.6000,0.0009,0.0093,0.0225
0.0466,7.8854,0.0358,lateral,0.3422,4.8800,0.0152,0.0466,0.0011
0.0545,8.5759,0.0278,turn,0.0000,5.4600,0.0000,nan,nan
0.0410,2.6636,0.0450,straight,1.8435,5.2000,0.0328,-0.0119,0.0392
0.0819,8.4371,0.0245,turn,0.0000,4.9800,0.0000,nan,nan
0.0750,3.7612,0.0256,straight,0.7208,5.7000,0.0515,0.0290,0.0692
0.0157,0.5595,0.0462,stand,0.0000,5.3600,0.0000,nan,nan
0.0572,9.6382,0.0261,combined,0.7113,4.5800,0.0504,0.0378,0.0429
0.0384,12.7985,0.0483,lateral,0.5296,4.4000,0.0384,-0.0113,0.0367
0.0153,11.5917,0.0194,straight,1.9679,4.9400,0.0139,0.0082,0.0129
0.0237,4.5258,0.0229,lateral,1.3060,4.7200,0.0237,-0.0173,0.0161
0.0439,3.4775,0.0256,lateral,0.7560,5.0000,0.0296,-0.0351,0.0264
0.0155,2.5880,0.0252,stand,0.0000,4.9000,0.0000,nan,nan
0.0324,15.1501,0.0323,combined,1.8734,4.8400,0.0100,0.0285,0.0156
0.0365,9.6453,0.0510,lateral,0.6588,5.4800,0.0041,0.0347,0.0114
0.0677,5.8294,0.0370,combined,1.5328,4.8400,0.0599,-0.0648,0.0196
0.0243,6.3462,0.0146,combined,1.4465,5.4000,0.0116,-0.0234,0.0062
0.0196,5.3895,0.0951,turn,0.0000,5.6400,0.0000,nan,nan
0.0443,6.8385,0.0319,combined,1.3698,4.3400,0.0443,-0.0281,0.0342
0.0607,7.2991,0.0504,combined,0.5232,4.8200,0.0308,0.0603,0.0064
