pos_err_m,heading_err_deg,final_speed_mps,category,start_dist_m,duration_s,min_dist_m,along_err_m,cross_err_m
0.1204,0.5180,0.1412,lateral,1.4576,6.8200,0.1125,0.0139,0.1196
0.0164,2.8417,0.0929,straight,0.3782,6.8200,0.0047,0.0077,0.0145
0.0833,0.8561,0.2280,straight,1.4414,6.8600,0.0759,-0.0657,0.0512
0.0200,1.7581,0.0258,stand,0.0000,6.8600,0.0000,nan,nan
0.0210,4.1844,0.0496,straight,0.3712,6.8600,0.0014,-0.0071,0.0197
0.0840,1.8465,0.0469,turn,0.0000,6.9000,0.0000,nan,nan
0.0707,0.9109,0.0291,turn,0.0000,6.9000,0.0000,nan,nan
0.0542,4.4609,0.0325,stand,0.0000,6.9000,0.0000,nan,nan
0.1265,1.5794,0.0204,turn,0.0000,6.9600,0.0000,nan,nan
0.0628,0.2860,0.0510,straight,1.8244,6.9800,0.0081,0.0265,0.0570
0.1200,1.4971,0.0689,straight,0.3896,6.9800,0.0057,-0.1200,0.0034
0.1659,16.5141,0.0317,stand,0.0000,6.9800,0.0000,nan,nan
0.0688,2.4682,0.1551,turn,0.0000,6.9600,0.0000,nan,nan
0.0579,2.1632,0.0299,turn,0.0000,7.0200,0.0000,nan,nan
0.1232,0.9252,0.0851,combined,0.5910,7.0200,0.0310,0.1151,0.0440
0.0149,0.1663,0.1052,turn,0.0000,7.0400,0.0000,nan,nan
0.0134,0.6353,0.0355,straight,0.4493,7.0600,0.0040,0.0030,0.0130
0.0849,2.2599,0.1170,combined,1.1445,7.1000,0.0047,0.0848,0.0046
0.0515,9.2064,0.1498,straight,1.4458,7.1000,0.0494,-0.0515,0.0003
0.1218,2.1427,0.0481,straight,1.6518,7.1200,0.0807,0.1052,0.0614
0.0696,5.3868,0.0394,turn,0.0000,7.1200,0.0000,nan,nan
0.1019,1.5577,0.0367,combined,0.4771,7.1200,0.0905,-0.0744,0.0696
0.0511,2.1439,0.0440,stand,0.0000,7.1600,0.0000,nan,nan
0.1543,2.2980,0.0052,combined,0.2478,7.1600,0.1543,-0.1471,0.0463
0.0760,1.2700,0.1154,combined,1.5748,7.2000,0.0469,-0.0195,0.0735
0.0610,1.9912,0.0427,straight,0.4202,7.1800,0.0543,-0.0597,0.0122
0.0662,3.1137,0.0671,combined,0.6406,7.2200,0.0647,-0.0577,0.0325
0.1251,2.4802,0.1692,combined,1.9684,7.2200,0.0980,-0.0113,0.1246
0.0210,1.3803,0.0813,straight,1.4075,7.2400,0.0001,0.0152,0.0145
0.1490,2.8400,0.1608,turn,0.0000,7.2400,0.0000,nan,nan
0.0427,4.0972,0.1782,combined,1.3707,7.2400,0.0189,-0.0010,0.0427
0.0914,1.6704,0.1001,combined,1.7547,7.2600,0.0773,-0.0910,0.0083
0.0609,1.9745,0.0705,lateral,0.8396,7.3200,0.0292,-0.0060,0.0606
0.0710,2.9842,0.0156,straight,1.3331,7.3400,0.0219,0.0674,0.0220
0.0782,2.8793,0.0884,combined,2.2542,7.3800,0.0781,-0.0571,0.0535
0.0482,2.1141,0.1591,combined,2.3916,7.4000,0.0306,0.0198,0.0439
0.5356,35.9058,0.0278,stand,0.0000,7.4200,0.0000,nan,nan
0.1823,5.5546,0.0173,stand,0.0000,7.4200,0.0000,nan,nan
0.0962,3.3152,0.0957,combined,1.9067,7.4200,0.0891,-0.0236,0.0932
0.1613,1.6936,0.1698,turn,0.0000,7.4400,0.0000,nan,nan
0.1107,4.1062,0.0764,combined,0.5045,7.4400,0.0986,0.0714,0.0847
0.0774,0.2211,0.0109,turn,0.0000,7.4400,0.0000,nan,nan
0.0744,1.3726,0.1325,straight,1.4742,7.4600,0.0368,-0.0074,0.0740
0.1145,0.1540,0.1545,straight,0.1789,7.4600,0.0163,0.0028,0.1145
0.0363,1.4631,0.0955,combined,1.7037,7.4600,0.0084,-0.0097,0.0350
0.0740,0.8359,0.2062,turn,0.0000,7.4600,0.0000,nan,nan
0.0491,3.2092,0.1581,combined,0.4917,7.4800,0.0387,-0.0063,0.0487
0.1020,2.6902,0.0531,turn,0.0000,7.5400,0.0000,nan,nan
0.0412,3.3814,0.0042,stand,0.0000,7.5600,0.0000,nan,nan
0.0805,5.2897,0.1227,turn,0.0000,7.5600,0.0000,nan,nan
0.1255,1.8945,0.2424,straight,1.8612,7.5800,0.0631,0.0080,0.1252
0.0804,3.3573,0.2130,straight,1.5194,7.6000,0.0684,-0.0500,0.0630
0.1857,0.7105,0.0718,combined,1.8066,7.6400,0.1534,-0.1637,0.0877
0.0589,0.1186,0.1373,straight,1.0003,7.6600,0.0415,-0.0353,0.0471
0.0568,6.4250,0.0318,stand,0.0000,7.7400,0.0000,nan,nan
0.0251,1.3012,0.0264,turn,0.0000,7.7000,0.0000,nan,nan
0.0819,1.1004,0.1067,lateral,1.4896,7.7400,0.0532,-0.0813,0.0103
0.2916,4.3086,0.0091,stand,0.0000,7.7800,0.0000,nan,nan
0.1308,2.2337,0.0422,lateral,0.7466,7.8200,0.1285,-0.0256,0.1282
0.0817,0.4134,0.0702,lateral,0.3270,7.8200,0.0468,-0.0084,0.0813
0.0724,2.4072,0.0215,stand,0.0000,7.7800,0.0000,nan,nan
0.1120,0.4434,0.1170,combined,1.3797,7.8400,0.1067,-0.0459,0.1021
0.0425,0.1395,0.0380,straight,1.1149,7.8800,0.0172,-0.0333,0.0264
0.1528,2.0834,0.0393,turn,0.0000,7.9000,0.0000,nan,nan
0.0587,1.9929,0.0367,turn,0.0000,7.9400,0.0000,nan,nan
0.1010,2.9802,0.0915,combined,1.1866,7.9600,0.0889,-0.1010,0.0011
0.2420,2.1235,0.1956,lateral,0.1765,7.9600,0.0055,0.2134,0.1141
0.0073,0.4999,0.0766,straight,0.0252,7.9600,0.0031,-0.0011,0.0072
0.1162,0.3511,0.0759,combined,1.7762,7.9600,0.0978,0.1127,0.0285
0.0795,2.1845,0.1082,lateral,0.4218,7.9800,0.0493,-0.0391,0.0692
0.0932,4.1533,0.0394,stand,0.0000,6.9800,0.0000,nan,nan
0.0890,2.0459,0.0859,straight,1.7495,4.0600,0.0889,-0.0285,0.0843
0.0456,0.1498,0.1652,lateral,0.6337,4.2400,0.0319,-0.0204,0.0408
